"Governorate","sector","activity","Partner","Area","Refugee.Camps","Start","End","Total","costunit","gender","target","Objective","Sector","Category","Output","RegionCODE","Area2"
"Ajlun","PROT[4]Child Protection","[REF4.4]Specialised Services/Case Mngmt.","UNHCR","Ajlun Governorate",,"2015-01-01","2015-12-31",4875,"c- 100-249$","6-Minor only","Urban & Rural only","Child Protection","PROTECTION","Refugee","Specialised Services/Case Mngmt.","1701","AJLOUN"
"Ajlun","PROT[2]Community Empowered; Services to Vuln","[REF2.4]Psychosocial Support","IMC","Ajlun Governorate",,"2015-01-01","2015-12-31",93816,"d- 250-499$","6-Minor only","Urban & Rural only","Community Empowered; Services to Vuln","PROTECTION","Refugee","Psychosocial Support","1701","AJLOUN"
"Ajlun","HLTH[3]Integrated Community Interventions","[REF3.1]Community Health Teams","MEDAIR","Ajlun Governorate",,"2015-01-01","2015-12-31",34538,"f- >2000$","8-Women only","Host, Urban & Rural","Integrated Community Interventions","HEALTH","Refugee","Community Health Teams","1701","AJLOUN"
"Ajlun","PROT[2]Community Empowered; Services to Vuln","[REF2.1]Info on services; Participation","ICMC","Ajlun Governorate",,"2015-01-01","2015-12-31",6541.3,"a- 0-49$","1-All","Host, Urban & Rural","Community Empowered; Services to Vuln","PROTECTION","Refugee","Info on services; Participation","1701","AJLOUN"
"Ajlun","BASIC NEEDS[1]Basic HH Needs are met","[REF1.3]Cash,Vouchers for most vuln.","ICMC","Ajlun Governorate",,"2015-01-01","2016-09-01",113833,"d- 250-499$","1-All","Host, Urban & Rural","Basic HH Needs are met","BASIC NEEDS","Refugee","Cash,Vouchers for most vuln.","1701","AJLOUN"
"Ajlun","HLTH[1]Primary Health Care","[REF1.5]Inf/Child Feeding practice","MEDAIR","Ajlun Governorate",,"2015-01-01","2015-12-31",8071,"a- 0-49$","8-Women only","Host, Urban & Rural","Primary Health Care","HEALTH","Refugee","Inf/Child Feeding practice","1701","AJLOUN"
"Ajlun","SHLT[2]Urban/Rural Adequate Shelter","[REF2.2]Provision of sealing off kits","JHAS","Ajlun Governorate",,"2015-06-01","2015-10-31",26000,"b- 50-99$","1-All","Urban & Rural only","Urban/Rural Adequate Shelter","SHELTER","Refugee","Provision of sealing off kits","1701","AJLOUN"
"Ajlun","PROT[4]Child Protection","[REF4.4]Specialised Services/Case Mngmt.","Questcope","Ajlun Governorate",,"2015-01-01","2015-04-30",50000,"e- 500-2000$","6-Minor only","Host, Urban & Rural","Child Protection","PROTECTION","Refugee","Specialised Services/Case Mngmt.","1701","AJLOUN"
"Ajlun","HLTH[2]Secondary/Tertiary Care","[REF2.1]Comprehensive secondary mental health service provided, ","IMC","Ajlun Governorate",,"2015-01-01","2015-12-31",16667,"d- 250-499$","1-All","Host, Urban & Rural","Secondary/Tertiary Care","HEALTH","Refugee","Comprehensive secondary mental health serv","1701","AJLOUN"
"Ajlun","HLTH[3]Integrated Community Interventions","[REF3.4]Mat/Child (incl. neonatal) Health mngt ","MEDAIR","Ajlun Governorate",,"2015-01-01","2015-12-31",8072,"a- 0-49$","3-Mix","Host, Urban & Rural","Integrated Community Interventions","HEALTH","Refugee","Mat/Child (incl. neonatal) Health mngt ","1701","AJLOUN"
