,Category,Partner,Area,Objective,Output,Sector,Implementation,Total,RegionCODE,Area2
9,Refugee,IMC,Ajlun Governorate,HLTH[REF1.1]Essential Primary Health Care,[REF1.1.6]Mental Health Services (primary),HEALTH,direct,15530,1701,AJLOUN
14,Refugee,WVI,Ajlun Governorate,BN[REF2.1]Life Saving Basic Needs,[REF2.1.5]Winterization needs out of Camp,BASIC NEEDS,direct,163333.33,1701,AJLOUN
22,Refugee,UNICEF,Ajlun Governorate,WASH [REF3.1]Hygiene in Camps,[REF3.1.2]Schools etc Hygiene promotion,WASH ,indirect,36976,1701,AJLOUN
30,Refugee,MercyCorps,Ajlun Governorate,PROT[REF1.2]MHPSS / Disabilities,[REF1.2.4]Safe Spaces/Comm. Centres,PROTECTION,direct,750000,1701,AJLOUN
35,Refugee,NRC,Ajlun Governorate,SHLT[REF2.2]Complete Housing Units,[REF2.2.1]Awareness on Housing Rights,SHELTER,direct,15000,1701,AJLOUN
40,Refugee,UNHCR,Ajlun Governorate,BN[REF2.1]Life Saving Basic Needs,[REF2.1.3]Support towards basic needs,BASIC NEEDS,direct,1479989,1701,AJLOUN
41,Refugee,WFP,Ajlun Governorate,FOOD/LIV[1.1]Improve Food Access,[REF 1.1.1]Food Assistance,FOOD/LIVELIHOOD,indirect,2292929,1701,AJLOUN
53,Refugee,NRC,Ajlun Governorate,SHLT[REF2.2]Complete Housing Units,[REF2.2.2]Increase no. of shelters in urban/r,SHELTER,direct,1050000,1701,AJLOUN
58,Refugee,WVI,Ajlun Governorate,EDU[REF3.3]Alternative Education,[REF3.3.2]Informal Education,EDUCATION,,348594.84,1701,AJLOUN
60,Refugee,MercyCorps,Ajlun Governorate,PROT[REF1.2]MHPSS / Disabilities,"[REF1.2.1]Information, referral and outreach",PROTECTION,direct,67500,1701,AJLOUN
69,Refugee,MercyCorps,Ajlun Governorate,BN[REF2.1]Life Saving Basic Needs,[REF2.1.3]Support towards basic needs,BASIC NEEDS,direct,616666,1701,AJLOUN
70,Refugee,NRC,Ajlun Governorate,BN[REF2.1]Life Saving Basic Needs,[REF2.1.3]Support towards basic needs,BASIC NEEDS,direct,50000,1701,AJLOUN
75,Refugee,APS,Ajlun Governorate,PROT[REF1.3]SGBV,[REF1.3.1]Community members engaged,PROTECTION,direct,95353,1701,AJLOUN
87,Refugee,UNHCR,Ajlun Governorate,BN[REF2.1]Life Saving Basic Needs,[REF2.1.5]Winterization needs out of Camp,BASIC NEEDS,direct,349623,1701,AJLOUN
90,Refugee,WVI,Ajlun Governorate,EDU[REF3.2]Acces to Formal Education,[REF3.2.1]School renovation/equip,EDUCATION,direct,0,1701,AJLOUN
93,Refugee,NRC,Ajlun Governorate,PROT[REF1.2]MHPSS / Disabilities,"[REF1.2.1]Information, referral and outreach",PROTECTION,direct,50000,1701,AJLOUN
95,Refugee,WVI,Ajlun Governorate,BN[REF2.1]Life Saving Basic Needs,[REF2.1.3]Support towards basic needs,BASIC NEEDS,direct,196689.33,1701,AJLOUN
100,Refugee,NRC,Ajlun Governorate,WASH [REF1.5]Water Conservation,[REF1.5.1]Conserv. In camps/urban,WASH ,direct,45630,1701,AJLOUN
109,Refugee,ACF,Ajlun Governorate,BN[REF2.1]Life Saving Basic Needs,[REF2.1.5]Winterization needs out of Camp,BASIC NEEDS,direct,150000,1701,AJLOUN
119,Refugee,UNFPA,Ajlun Governorate,HLTH[REF1.1]Essential Primary Health Care,[REF1.1.3]Reproductive Health Services,HEALTH,indirect,6.00E+05,1701,AJLOUN
120,Refugee,UNICEF,Ajlun Governorate,WASH [REF1.4]Services in urban access to water,[REF1.4.1]Schools etc access Water,WASH ,indirect,99366.3,1701,AJLOUN
124,Refugee,MercyCorps,Ajlun Governorate,BN[REF2.1]Life Saving Basic Needs,[REF2.1.5]Winterization needs out of Camp,BASIC NEEDS,direct,50000,1701,AJLOUN
131,Refugee,UNICEF,Ajlun Governorate,WASH [REF1.5]Water Conservation,[REF1.5.2]Reuse of wastewater ,WASH ,,48333.316,1701,AJLOUN
132,Refugee,NRC,Ajlun Governorate,PROT[REF1.1]Refugee Rights Respected,[REF1.1.3] Civil Status Documentation,PROTECTION,direct,15000,1701,AJLOUN
138,Refugee,IMC,Ajlun Governorate,HLTH[REF1.3]Integrated Community Intervs.,[REF1.3.5]Community Mental Hlth services,HEALTH,direct,937,1701,AJLOUN
140,Refugee,NRC,Ajlun Governorate,SHLT[REF2.3]Upgrade Housing Units,[REF2.3.1]Upgrade Housing urban/rural,SHELTER,direct,3.00E+05,1701,AJLOUN
170,Refugee,UNICEF,Ajlun Governorate,WASH [REF3.2]Hygiene in Urban,[REF3.2.2]Schools etc Hygi promotion,WASH ,,46477.16,1701,AJLOUN
178,Refugee,UNICEF,Ajlun Governorate,BN[REF2.1]Life Saving Basic Needs,[REF2.1.3]Support towards basic needs,BASIC NEEDS,direct,295024,1701,AJLOUN
185,Refugee,UNICEF,Ajlun Governorate,BN[REF2.1]Life Saving Basic Needs,[REF2.1.5]Winterization needs out of Camp,BASIC NEEDS,direct,81200,1701,AJLOUN
193,Refugee,OXFAM,Ajlun Governorate,PROT[REF1.2]MHPSS / Disabilities,[REF1.2.5]Reduce Social Tensions thr. Livelih,PROTECTION,direct,1.00E+05,1701,AJLOUN
208,Refugee,ICMC,Ajlun Governorate,PROT[REF1.2]MHPSS / Disabilities,"[REF1.2.1]Information, referral and outreach",PROTECTION,direct,12546,1701,AJLOUN
214,Refugee,WVI,Ajlun Governorate,PROT[REF1.4]Child Protection,[REF1.4.1]Child Protection systems,PROTECTION,direct,91442.5,1701,AJLOUN
219,Refugee,ACF,Ajlun Governorate,HLTH[REF1.2]Secondary/Tertiary Care,[REF1.2.5]Secondary/Tertiary Referrals,HEALTH,direct,4500,1701,AJLOUN
225,Refugee,APS,Ajlun Governorate,PROT[REF1.3]SGBV,[REF.1.3.3]Capacity of Service Providers,PROTECTION,direct,52000,1701,AJLOUN
244,Refugee,ACF,Ajlun Governorate,HLTH[REF1.2]Secondary/Tertiary Care,[REF1.2.5]Secondary/Tertiary Referrals,HEALTH,direct,15000,1701,AJLOUN
