,Category,Partner,Area,Objective,Output,Sector,Implementation,Total,RegionCODE,Area2
4,Refugee,WVI,Ajlun Governorate,BN[REF2.1]Life Saving Basic Needs,[REF2.1.5]Winterization needs out of Camp,BASIC NEEDS,direct,163333.33,1701,AJLOUN
12,Refugee,APS,Ajlun Governorate,PROT[REF1.3]SGBV,[REF1.3.1]Community members engaged,PROTECTION,direct,95353,1701,AJLOUN
24,Refugee,ICMC,Ajlun Governorate,PROT[REF1.2]MHPSS / Disabilities,"[REF1.2.1]Information, referral and outreach",PROTECTION,direct,12546,1701,AJLOUN
29,Refugee,UNICEF,Ajlun Governorate,WASH [REF3.2]Hygiene in Urban,[REF3.2.1]Hygiene promotion,WASH ,indirect,64768.083,1701,AJLOUN
32,Refugee,ICMC,Ajlun Governorate,BN[REF2.1]Life Saving Basic Needs,[REF2.1.5]Winterization needs out of Camp,BASIC NEEDS,direct,114325,1701,AJLOUN
38,Refugee,ACF,Ajlun Governorate,HLTH[REF1.2]Secondary/Tertiary Care,[REF1.2.5]Secondary/Tertiary Referrals,HEALTH,direct,4500,1701,AJLOUN
40,Refugee,UNICEF,Ajlun Governorate,WASH [REF1.4]Services in urban access to water,[REF1.4.1]Schools etc access Water,WASH ,indirect,99366.3,1701,AJLOUN
43,Refugee,WVI,Ajlun Governorate,PROT[REF1.4]Child Protection,[REF1.4.1]Child Protection systems,PROTECTION,direct,91442.5,1701,AJLOUN
47,Refugee,ACF,Ajlun Governorate,BN[REF2.1]Life Saving Basic Needs,[REF2.1.5]Winterization needs out of Camp,BASIC NEEDS,direct,150000,1701,AJLOUN
56,Refugee,ACF,Ajlun Governorate,HLTH[REF1.2]Secondary/Tertiary Care,[REF1.2.5]Secondary/Tertiary Referrals,HEALTH,direct,15000,1701,AJLOUN
94,Refugee,UNICEF,Ajlun Governorate,WASH [REF1.5]Water Conservation,[REF1.5.2]Reuse of wastewater ,WASH ,indirect,48333.316,1701,AJLOUN
95,Refugee,ICMC,Ajlun Governorate,BN[REF2.1]Life Saving Basic Needs,[REF2.1.3]Support towards basic needs,BASIC NEEDS,direct,25000,1701,AJLOUN
98,Refugee,ICMC,Ajlun Governorate,SHLT[REF2.1]Cash for Rent,[REF2.1.1]Cash for Rent,SHELTER,indirect,54817,1701,AJLOUN
113,Refugee,IMC,Ajlun Governorate,HLTH[REF1.1]Essential Primary Health Care,[REF1.1.6]Mental Health Services (primary),HEALTH,direct,15530,1701,AJLOUN
122,Refugee,MercyCorps,Ajlun Governorate,PROT[REF1.2]MHPSS / Disabilities,[REF1.2.4]Safe Spaces/Comm. Centres,PROTECTION,direct,750000,1701,AJLOUN
123,Refugee,NRC,Ajlun Governorate,PROT[REF1.1]Refugee Rights Respected,[REF1.1.3] Civil Status Documentation,PROTECTION,direct,15000,1701,AJLOUN
124,Refugee,OXFAM,Ajlun Governorate,PROT[REF1.2]MHPSS / Disabilities,[REF1.2.5]Reduce Social Tensions thr. Livelih,PROTECTION,direct,1.00E+05,1701,AJLOUN
129,Refugee,WVI,Ajlun Governorate,EDU[REF3.3]Alternative Education,[REF3.3.2]Informal Education,EDUCATION,,348594.84,1701,AJLOUN
141,Refugee,UNICEF,Ajlun Governorate,WASH [REF1.5]Water Conservation,[REF1.5.1]Conserv. In camps/urban,WASH ,indirect,36976.83,1701,AJLOUN
144,Refugee,MercyCorps,Ajlun Governorate,PROT[REF1.2]MHPSS / Disabilities,[REF1.2.3]Special Needs/Disabled/Elderly,PROTECTION,direct,16666,1701,AJLOUN
149,Refugee,UNHCR,Ajlun Governorate,BN[REF2.1]Life Saving Basic Needs,[REF2.1.3]Support towards basic needs,BASIC NEEDS,direct,1479989,1701,AJLOUN
168,Refugee,NRC,Ajlun Governorate,PROT[REF1.2]MHPSS / Disabilities,"[REF1.2.1]Information, referral and outreach",PROTECTION,direct,50000,1701,AJLOUN
169,Refugee,UNFPA,Ajlun Governorate,HLTH[REF1.1]Essential Primary Health Care,[REF1.1.3]Reproductive Health Services,HEALTH,indirect,6.00E+05,1701,AJLOUN
171,Refugee,MercyCorps,Ajlun Governorate,PROT[REF1.2]MHPSS / Disabilities,"[REF1.2.1]Information, referral and outreach",PROTECTION,direct,67500,1701,AJLOUN
172,Refugee,WVI,Ajlun Governorate,BN[REF2.1]Life Saving Basic Needs,[REF2.1.3]Support towards basic needs,BASIC NEEDS,direct,196689.33,1701,AJLOUN
177,Refugee,IMC,Ajlun Governorate,HLTH[REF1.3]Integrated Community Intervs.,[REF1.3.5]Community Mental Hlth services,HEALTH,direct,937,1701,AJLOUN
181,Refugee,UNHCR,Ajlun Governorate,BN[REF2.1]Life Saving Basic Needs,[REF2.1.5]Winterization needs out of Camp,BASIC NEEDS,direct,349623,1701,AJLOUN
