Sector,Partner,Required,Receive,Quarter,Gap,Reported,Year,NewReceived
CASH,ACF,2190000,947055,0- Yearly,1242945,No,2014,947055
FOOD SECURITY,ACF,200000,0,0- Yearly,200000,No,2014,0
HEALTH,ACF,631042,0,0- Yearly,631042,No,2014,0
PROTECTION,ACF,714235,431496,0- Yearly,282739,No,2014,431496
WASH,ACF,2957124,417105,0- Yearly,2540019,No,2014,417105
CASH,ACTED,1600000,1488001,0- Yearly,111999,No,2014,1488001
FOOD SECURITY,ACTED,850000,0,0- Yearly,850000,No,2014,0
NFI,ACTED,2000000,887745,0- Yearly,1112255,No,2014,887745
PROTECTION,ACTED,600000,145667,0- Yearly,454333,No,2014,145667
SHELTER,ACTED,500000,0,0- Yearly,500000,No,2014,0
WASH,ACTED,4615000,1068793,0- Yearly,3546207,No,2014,1068793
EDUCATION,ActionAid,378260,378260,0- Yearly,0,No,2014,378260
EDUCATION,ADRA,77500,123000,0- Yearly,-45500,No,2014,123000
SHELTER,ADRA,750000,0,0- Yearly,750000,No,2014,0
CASH,AVSI,922474,394449,0- Yearly,528025,No,2014,394449
EDUCATION,AVSI,177500,41330,0- Yearly,136170,No,2014,41330
NFI,AVSI,275485,262840,0- Yearly,12645,No,2014,262840
PROTECTION,AVSI,312500,120000,0- Yearly,192500,No,2014,120000
CASH,CARE,13500000,11517157,0- Yearly,1982843,No,2014,11517157
NFI,CARE,2500000,165800,0- Yearly,2334200,No,2014,165800
PROTECTION,CARE,5250000,816972,0- Yearly,4433028,No,2014,816972
CASH,Caritas Jordan,1271186,262229,0- Yearly,1008957,No,2014,262229
EDUCATION,Caritas Jordan,1585000,4769540,0- Yearly,-3184540,No,2014,4769540
FOOD SECURITY,Caritas Jordan,1329801,2414665,0- Yearly,-1084864,No,2014,2414665
HEALTH,Caritas Jordan,6800000,8646150,0- Yearly,-1846150,No,2014,8646150
NFI,Caritas Jordan,1852600,2671535,0- Yearly,-818935,No,2014,2671535
SHELTER,Caritas Jordan,1677540,2695496,0- Yearly,-1017956,No,2014,2695496
EDUCATION,CHF,1000000,0,0- Yearly,1000000,No,2014,0
PROTECTION,CHF,9390000,0,0- Yearly,9390000,No,2014,0
SHELTER,CHF,57600,0,0- Yearly,57600,No,2014,0
WASH,CHF,114500,0,0- Yearly,114500,No,2014,0
HEALTH,CVT,2500000,2550000,0- Yearly,-50000,No,2014,2550000
CASH,DRC,2449600,2663451,0- Yearly,-213851,No,2014,2663451
EDUCATION,DRC,215000,95594,0- Yearly,119406,No,2014,95594
NFI,DRC,1424645,980386,0- Yearly,444259,No,2014,980386
PROTECTION,DRC,2142880,1785071,0- Yearly,357809,No,2014,1785071
SHELTER,DRC,109400,59994,0- Yearly,49406,No,2014,59994
FOOD SECURITY,FAO,5000000,140000,0- Yearly,4860000,No,2014,140000
EDUCATION,FCA,1100000,602464,0- Yearly,497536,No,2014,602464
PROTECTION,FCA,1100000,602464,0- Yearly,497536,No,2014,602464
PROTECTION,FPSC,1536680,514952,0- Yearly,1021728,No,2014,514952
HEALTH,FRC,750000,0,0- Yearly,750000,No,2014,0
CASH,HI,3100000,3500000,0- Yearly,-400000,No,2014,3500000
HEALTH,HI,3000000,3000000,0- Yearly,0,No,2014,3000000
PROTECTION,HI,3500000,3500000,0- Yearly,0,No,2014,3500000
WASH,HI,400000,0,0- Yearly,400000,No,2014,0
CASH,ICMC,313780,261668,0- Yearly,52112,No,2014,261668
NFI,ICMC,550000,613696,0- Yearly,-63696,No,2014,613696
PROTECTION,ICMC,357333,385333,0- Yearly,-28000,No,2014,385333
SHELTER,ICMC,886942,683358,0- Yearly,203584,No,2014,683358
PROTECTION,ILO,1435000,0,0- Yearly,1435000,No,2014,0
HEALTH,IMC,6814589,6574158,0- Yearly,240431,No,2014,6574158
PROTECTION,IMC,4095080,2408415,0- Yearly,1686665,No,2014,2408415
PROTECTION,Internews,252000,0,0- Yearly,252000,No,2014,0
CASH,Intersos,651000,252766,0- Yearly,398234,No,2014,252766
PROTECTION,Intersos,650000,134010,0- Yearly,515990,No,2014,134010
SHELTER,Intersos,598500,0,0- Yearly,598500,No,2014,0
PROTECTION,IOM,5382141,2300000,0- Yearly,3082141,No,2014,2300000
SHELTER,IOM,3750000,0,0- Yearly,3750000,No,2014,0
EDUCATION,IR,430000,290083,0- Yearly,139917,No,2014,290083
HEALTH,IR,4669782,1331178,0- Yearly,3338604,No,2014,1331178
NFI,IR,1335560,666376,0- Yearly,669184,No,2014,666376
