Organisation,SectorJo,Status,RegionCODE,GovCODE,Total
ACF,CASH,B-Preventingdeterioration,1,1707,3720000
ACTED,CASH,A-Life-saving,4,1,4500000
ACTED,CASH,B-Preventingdeterioration,4,1,100000
AVSI,CASH,B-Preventingdeterioration,2,1710,107443
AVSI,CASH,B-Preventingdeterioration,2,1712,193315
CARE,CASH,A-Life-saving,2,1705,3450000
CARE,CASH,A-Life-saving,1,1707,3450000
CARE,CASH,A-Life-saving,1,1711,2300000
CARE,CASH,A-Life-saving,2,1712,2300000
CARE,CASH,B-Preventingdeterioration,2,1705,600000
CARE,CASH,B-Preventingdeterioration,1,1707,600000
CARE,CASH,B-Preventingdeterioration,1,1711,400000
CARE,CASH,B-Preventingdeterioration,2,1712,400000
CHF,CASH,A-Life-saving,3,1703,7000
CHF,CASH,A-Life-saving,1,1704,7000
CHF,CASH,A-Life-saving,3,1709,7000
CHF,CASH,A-Life-saving,3,1706,7000
Caritas,CASH,B-Preventingdeterioration,4,1,635593
DRC,CASH,A-Life-saving,1,1704,670000
DRC,CASH,A-Life-saving,3,1709,670000
DRC,CASH,A-Life-saving,4,1,1478000
DRC,CASH,A-Life-saving,3,1706,150000
DRC,CASH,B-Preventingdeterioration,1,1704,330750
DRC,CASH,B-Preventingdeterioration,3,1709,330750
HI,CASH,A-Life-saving,4,1,700000
HI,CASH,B-Preventingdeterioration,4,1,2400000
ICMC,CASH,A-Life-saving,4,1,375000
IRC,CASH,A-Life-saving,1,1707,300000
IRC,CASH,A-Life-saving,1,1711,150000
IRC,CASH,B-Preventingdeterioration,1,1707,1900000
IRC,CASH,B-Preventingdeterioration,1,1711,1000000
Intersos,CASH,A-Life-saving,4,1,318000
Intersos,CASH,B-Preventingdeterioration,1,1707,333000
MEDAIR,CASH,A-Life-saving,1,1707,500000
MEDAIR,CASH,B-Preventingdeterioration,1,1707,1415200
MercyCorps,CASH,B-Preventingdeterioration,2,1705,20000
MercyCorps,CASH,B-Preventingdeterioration,5,2,20000
MercyCorps,CASH,B-Preventingdeterioration,1,1707,100000
MercyCorps,CASH,B-Preventingdeterioration,1,1708,20000
MercyCorps,CASH,B-Preventingdeterioration,1,1711,100000
OXFAM,CASH,A-Life-saving,2,1702,57010
OXFAM,CASH,A-Life-saving,2,1712,170250
OXFAM,CASH,B-Preventingdeterioration,2,1702,262185
OXFAM,CASH,B-Preventingdeterioration,2,1712,1493660
PU-AMI,CASH,A-Life-saving,2,1705,940000
PU-AMI,CASH,A-Life-saving,2,1712,940000
SCI,CASH,B-Preventingdeterioration,1,1707,10000000
TGH,CASH,A-Life-saving,2,1705,124000
TGH,CASH,A-Life-saving,1,1707,110000
UNHCR,CASH,B-Preventingdeterioration,2,1705,566102
UNHCR,CASH,B-Preventingdeterioration,1,1707,122034
UNHCR,CASH,B-Preventingdeterioration,1,1711,122034
UNHCR,CASH,B-Preventingdeterioration,4,1,55962713
WVI,CASH,B-Preventingdeterioration,1,1707,348367
WVI,CASH,B-Preventingdeterioration,2,1712,348367
ACTED,EDUCATION,A-Life-saving,5,2,80000
ACTED,EDUCATION,B-Preventingdeterioration,4,1,300000
ADRA,EDUCATION,B-Preventingdeterioration,2,1705,30000
ADRA,EDUCATION,B-Preventingdeterioration,1,1707,29000
ADRA,EDUCATION,B-Preventingdeterioration,1,1711,18500
AVSI,EDUCATION,A-Life-saving,1,1711,150000
AVSI,EDUCATION,A-Life-saving,2,1712,150000
CHF,EDUCATION,A-Life-saving,3,1703,250000
CHF,EDUCATION,A-Life-saving,1,1704,250000
CHF,EDUCATION,A-Life-saving,3,1709,250000
CHF,EDUCATION,A-Life-saving,3,1706,250000
Caritas,EDUCATION,A-Life-saving,2,1705,3000000
