SiteId,Year,Monthname,StartDate,IndicatorId,Sector,Output,Activity,Header_Indicator,Master_Indicator,Indicator,Pop_Tag,Gender_Tag,Age_Tag,Type_Tag,Partner,LocationType,LocationName,Gov_Pcode,Governorate,Caza_Pcode,Caza,Cad_Pcode,Cadastral,LCRP_Result,Funded_by,Sector_of_funding,Value,ValueofPop,ValueofGender,ValueofAge,Calculate_Value,Area
1654125648,2015,Feb,1/2/2015,2144655808,Protection,PRT -1.1 Access to territory,PRT-1.1.1. Presence on border (Quarterly),# of days border monitoring staff are present at border crossings,# of days border monitoring staff are present at border crossings,# of days border monitoring staff are present at border crossings,,,,,UNRWA,All Locations,BC: BCP: Al Masnaa,6,Bekaa,LBN23,Rachaiya,55017,Aayta El-Foukhar,Yes,UNRWA,Protection,13,0,0,0,13,Bekaa
337372889,2015,Jan,1/1/2015,2144655810,Protection,PRT -1.1 Access to territory,PRT-1.1.2. Direct interven on border,# individual interventions at border crossings,# individual interventions at border crossings,DisSyr - # individual interventions at border crossings,DisSyr,,,,IRC,All Locations,LOC: Kfar Matta,5,Mount Lebanon,LBN31,Aaley,24047,Kfar Matta,Yes,UNHCR,Protection,2,2,0,0,2,Beirut & Mt.Lebanon
871176961,2015,Jan,1/1/2015,2144655811,Protection,PRT -1.1 Access to territory,PRT-1.1.2. Direct interven on border,# individual interventions at border crossings,# individual interventions at border crossings,PRS - # individual interventions at border crossings,PRS,,,,UNRWA,All Locations,BC: BCP: Al Masnaa,6,Bekaa,LBN23,Rachaiya,55017,Aayta El-Foukhar,Yes,UNRWA,Protection,13,13,0,0,13,Bekaa
1165761222,2015,Feb,1/2/2015,2144655823,Protection,PRT -1.2 Access to justic documentation,PRT-1.2.1. Legal # individuals provided with individual legal counseling (Access to Doc.),# individuals provided with individual legal counseling,# individuals counselled on obtaining legal stay,DisSyr - # individuals counselled on obtaining legal stay,DisSyr,,,Documentation: Legal Stay,NRC,Governorate,Beyrouth,7,Beirut,,,,,Yes,Independent,Protection,8,8,0,0,8,Beirut & Mt.Lebanon
994657210,2015,Jan,1/1/2015,2144655823,Protection,PRT -1.2 Access to justic documentation,PRT-1.2.1. Legal # individuals provided with individual legal counseling (Access to Doc.),# individuals provided with individual legal counseling,# individuals counselled on obtaining legal stay,DisSyr - # individuals counselled on obtaining legal stay,DisSyr,,,Documentation: Legal Stay,IRD,Governorate,Akkar,2,Akkar,,,,,Yes,UNHCR,Protection,44,44,0,0,44,Akkar
1980185055,2015,Feb,1/2/2015,2144655823,Protection,PRT -1.2 Access to justic documentation,PRT-1.2.1. Legal # individuals provided with individual legal counseling (Access to Doc.),# individuals provided with individual legal counseling,# individuals counselled on obtaining legal stay,DisSyr - # individuals counselled on obtaining legal stay,DisSyr,,,Documentation: Legal Stay,IRC,Governorate,Mont Liban,5,Mount Lebanon,,,,,Yes,UNHCR,Protection,52,52,0,0,52,Beirut & Mt.Lebanon
287782285,2015,Jan,1/1/2015,2144655823,Protection,PRT -1.2 Access to justic documentation,PRT-1.2.1. Legal # individuals provided with individual legal counseling (Access to Doc.),# individuals provided with individual legal counseling,# individuals counselled on obtaining legal stay,DisSyr - # individuals counselled on obtaining legal stay,DisSyr,,,Documentation: Legal Stay,NRC,Governorate,Akkar,2,Akkar,,,,,Yes,Independent,Protection,26,26,0,0,26,Akkar
1130413544,2015,Jan,1/1/2015,2144655823,Protection,PRT -1.2 Access to justic documentation,PRT-1.2.1. Legal # individuals provided with individual legal counseling (Access to Doc.),# individuals provided with individual legal counseling,# individuals counselled on obtaining legal stay,DisSyr - # individuals counselled on obtaining legal stay,DisSyr,,,Documentation: Legal Stay,NRC,Governorate,Baalbek_Hermel,3,Baalbek-El Hermel,,,,,Yes,Independent,Protection,16,16,0,0,16,Bekaa
689627953,2015,Jan,1/1/2015,2144655823,Protection,PRT -1.2 Access to justic documentation,PRT-1.2.1. Legal # individuals provided with individual legal counseling (Access to Doc.),# individuals provided with individual legal counseling,# individuals counselled on obtaining legal stay,DisSyr - # individuals counselled on obtaining legal stay,DisSyr,,,Documentation: Legal Stay,IRD,Governorate,Nord,4,North,,,,,Yes,UNHCR,Protection,44,44,0,0,44,North (Tripoli)
287782285,2015,Feb,1/2/2015,2144655824,Protection,PRT -1.2 Access to justic documentation,PRT-1.2.1. Legal # individuals provided with individual legal counseling (Access to Doc.),# individuals provided with individual legal counseling,# individuals counselled on obtaining legal stay,PRS - # individuals counselled on obtaining legal stay,PRS,,,Documentation: Legal Stay,NRC,Governorate,Akkar,2,Akkar,,,,,Yes,Independent,Protection,2,2,0,0,2,Akkar
994657210,2015,Jan,1/1/2015,2144655830,Protection,PRT -1.2 Access to justic documentation,PRT-1.2.1. Legal # individuals provided with individual legal counseling (Access to Doc.),# individuals provided with individual legal counseling,# individuals counselled on obtaining birth certificates,DisSyr - # individuals counselled on obtaining birth certificates,DisSyr,,,Documentation: Birth Certificate,IRD,Governorate,Akkar,2,Akkar,,,,,Yes,UNHCR,Protection,47,47,0,0,47,Akkar
1130413544,2015,Jan,1/1/2015,2144655830,Protection,PRT -1.2 Access to justic documentation,PRT-1.2.1. Legal # individuals provided with individual legal counseling (Access to Doc.),# individuals provided with individual legal counseling,# individuals counselled on obtaining birth certificates,DisSyr - # individuals counselled on obtaining birth certificates,DisSyr,,,Documentation: Birth Certificate,NRC,Governorate,Baalbek_Hermel,3,Baalbek-El Hermel,,,,,Yes,Independent,Protection,88,88,0,0,88,Bekaa
1507655714,2015,Feb,1/2/2015,2144655831,Protection,PRT -1.2 Access to justic documentation,PRT-1.2.1. Legal # individuals provided with individual legal counseling (Access to Doc.),# individuals provided with individual legal counseling,# individuals counselled on obtaining birth certificates,AffLeb - # individuals counselled on obtaining birth certificates,AffLeb,,,Documentation: Birth Certificate,NRC,Governorate,Sud,8,South,,,,,Yes,Independent,Protection,5,5,0,0,5,South
1130413544,2015,Feb,1/2/2015,2144655831,Protection,PRT -1.2 Access to justic documentation,PRT-1.2.1. Legal # individuals provided with individual legal counseling (Access to Doc.),# individuals provided with individual legal counseling,# individuals counselled on obtaining birth certificates,AffLeb - # individuals counselled on obtaining birth certificates,AffLeb,,,Documentation: Birth Certificate,NRC,Governorate,Baalbek_Hermel,3,Baalbek-El Hermel,,,,,Yes,Independent,Protection,1,1,0,0,1,Bekaa
1220467665,2015,Feb,1/2/2015,2144655832,Protection,PRT -1.2 Access to justic documentation,PRT-1.2.1. Legal # individuals provided with individual legal counseling (Access to Doc.),# individuals provided with individual legal counseling,# individuals counselled on obtaining birth certificates,PRS - # individuals counselled on obtaining birth certificates,PRS,,,Documentation: Birth Certificate,UNRWA,Governorate,Nord,4,North,,,,,Yes,UNRWA,Protection,2,2,0,0,2,North (Tripoli)
746677668,2015,Jan,1/1/2015,2144655839,Protection,PRT -1.2 Access to justic documentation,PRT-1.2.1. Legal # individuals provided with individual legal counseling (Access to Doc.),# individuals provided with individual legal counseling,# individuals counselled on obtaining other documentation,DisSyr - # individuals counselled on obtaining other documentation,DisSyr,,,Documentation: Other,NRC,Governorate,Nabatiye,9,El Nabatieh,,,,,Yes,Independent,Protection,42,42,0,0,42,South
994657210,2015,Feb,1/2/2015,2144655839,Protection,PRT -1.2 Access to justic documentation,PRT-1.2.1. Legal # individuals provided with individual legal counseling (Access to Doc.),# individuals provided with individual legal counseling,# individuals counselled on obtaining other documentation,DisSyr - # individuals counselled on obtaining other documentation,DisSyr,,,Documentation: Other,IRD,Governorate,Akkar,2,Akkar,,,,,Yes,UNHCR,Protection,34,34,0,0,34,Akkar
1554523669,2015,Jan,1/1/2015,2144655839,Protection,PRT -1.2 Access to justic documentation,PRT-1.2.1. Legal # individuals provided with individual legal counseling (Access to Doc.),# individuals provided with individual legal counseling,# individuals counselled on obtaining other documentation,DisSyr - # individuals counselled on obtaining other documentation,DisSyr,,,Documentation: Other,NRC,Governorate,Bekaa,6,Bekaa,,,,,Yes,Independent,Protection,176,176,0,0,176,Bekaa
746677668,2015,Feb,1/2/2015,2144655839,Protection,PRT -1.2 Access to justic documentation,PRT-1.2.1. Legal # individuals provided with individual legal counseling (Access to Doc.),# individuals provided with individual legal counseling,# individuals counselled on obtaining other documentation,DisSyr - # individuals counselled on obtaining other documentation,DisSyr,,,Documentation: Other,NRC,Governorate,Nabatiye,9,El Nabatieh,,,,,Yes,Independent,Protection,24,24,0,0,24,South
395204261,2015,Jan,1/1/2015,2144655842,Protection,PRT -1.2 Access to justic documentation,PRT-1.2.1. Legal # individuals provided with individual legal counseling (Access to Doc.),# individuals provided with individual legal counseling,# individuals counselled on obtaining other documentation,PRL - # individuals counselled on obtaining other documentation,PRL,,,Documentation: Other,UNRWA,Governorate,Beyrouth,7,Beirut,,,,,Yes,UNRWA,Protection,1,1,0,0,1,Beirut & Mt.Lebanon
287782285,2015,Feb,1/2/2015,2144655843,Protection,PRT -1.2 Access to justic documentation,PRT-1.2.1. Legal # individuals provided with individual legal counseling (Access to Doc.),# individuals provided with individual legal counseling,# individuals counselled on obtaining other documentation,LebRet - # individuals counselled on obtaining other documentation,LebRet,,,Documentation: Other,NRC,Governorate,Akkar,2,Akkar,,,,,Yes,Independent,Protection,1,1,0,0,1,Akkar
176333787,2015,Jan,1/1/2015,2144655848,Protection,PRT -1.2 Access to justic documentation,PRT-1.2.2. Legal counseling (Other than Doc.),# individuals provided with individual legal counseling,# individuals counselled on HLP matters,DisSyr - # individuals counselled on HLP matters,DisSyr,,,Other matters: HLP,IRD,Governorate,Akkar,2,Akkar,,,,,Yes,UNHCR,Protection,4,4,0,0,4,Akkar
176333787,2015,Feb,1/2/2015,2144655848,Protection,PRT -1.2 Access to justic documentation,PRT-1.2.2. Legal counseling (Other than Doc.),# individuals provided with individual legal counseling,# individuals counselled on HLP matters,DisSyr - # individuals counselled on HLP matters,DisSyr,,,Other matters: HLP,IRD,Governorate,Akkar,2,Akkar,,,,,Yes,UNHCR,Protection,11,11,0,0,11,Akkar
576836800,2015,Jan,1/1/2015,2144655849,Protection,PRT -1.2 Access to justic documentation,PRT-1.2.2. Legal counseling (Other than Doc.),# individuals provided with individual legal counseling,# individuals counselled on HLP matters,AffLeb - # individuals counselled on HLP matters,AffLeb,,,Other matters: HLP,NRC,Governorate,Akkar,2,Akkar,,,,,Yes,Independent,Protection,0,0,0,0,0,Akkar
1679425486,2015,Jan,1/1/2015,2144655850,Protection,PRT -1.2 Access to justic documentation,PRT-1.2.2. Legal counseling (Other than Doc.),# individuals provided with individual legal counseling,# individuals counselled on HLP matters,PRS - # individuals counselled on HLP matters,PRS,,,Other matters: HLP,UNRWA,Governorate,Nord,4,North,,,,,Yes,UNRWA,Protection,0,0,0,0,0,North (Tripoli)
2106095530,2015,Jan,1/1/2015,2144655857,Protection,PRT -1.2 Access to justic documentation,PRT-1.2.2. Legal counseling (Other than Doc.),# individuals provided with individual legal counseling,# individuals counselled on legal matters other than HLP,DisSyr - # individuals counselled on legal matters other than HLP,DisSyr,,,Other matters: non-HLP,IRD,Governorate,Nord,4,North,,,,,Yes,UNHCR,Protection,19,19,0,0,19,North (Tripoli)
500939605,2015,Jan,1/1/2015,2144655859,Protection,PRT -1.2 Access to justic documentation,PRT-1.2.2. Legal counseling (Other than Doc.),# individuals provided with individual legal counseling,# individuals counselled on legal matters other than HLP,PRS - # individuals counselled on legal matters other than HLP,PRS,,,Other matters: non-HLP,UNRWA,Governorate,Beyrouth,7,Beirut,,,,,Yes,UNRWA,Protection,8,8,0,0,8,Beirut & Mt.Lebanon
105971873,2015,Feb,1/2/2015,2144655860,Protection,PRT -1.2 Access to justic documentation,PRT-1.2.2. Legal counseling (Other than Doc.),# individuals provided with individual legal counseling,# individuals counselled on legal matters other than HLP,PRL - # individuals counselled on legal matters other than HLP,PRL,,,Other matters: non-HLP,UNRWA,Governorate,Sud,8,South,,,,,Yes,UNRWA,Protection,2,2,0,0,2,South
1627053663,2015,Feb,1/2/2015,2144655869,Protection,PRT -1.2 Access to justic documentation,PRT-1.2.3. Legal Representation,"# individuals represented in in courts, administrative bodies or informal conflict resolution mechanisms","# individuals represented in in courts, administrative bodies or informal conflict resolution mechanisms","PRL - # individuals represented in in courts, administrative bodies or informal conflict resolution mechanisms",PRL,,,,UNRWA,Governorate,Sud,8,South,,,,,Yes,UNRWA,Protection,8,8,0,0,8,South
1420997641,2015,Jan,1/1/2015,2144655869,Protection,PRT -1.2 Access to justic documentation,PRT-1.2.3. Legal Representation,"# individuals represented in in courts, administrative bodies or informal conflict resolution mechanisms","# individuals represented in in courts, administrative bodies or informal conflict resolution mechanisms","PRL - # individuals represented in in courts, administrative bodies or informal conflict resolution mechanisms",PRL,,,,UNRWA,Governorate,Bekaa,6,Bekaa,,,,,Yes,UNRWA,Protection,12,12,0,0,12,Bekaa
987068606,2015,Feb,1/2/2015,2144655875,Protection,PRT -1.2 Access to justic documentation,PRT-1.2.4. Legal awareness /information,# legal awareness sessions,# legal awareness sessions,# legal awareness sessions,,,,,NRC,Caza,Aaley,5,Mount Lebanon,LBN31,Aaley,,,Yes,Independent,Protection,18,0,0,0,18,Beirut & Mt.Lebanon
1755442808,2015,Feb,1/2/2015,2144655875,Protection,PRT -1.2 Access to justic documentation,PRT-1.2.4. Legal awareness /information,# legal awareness sessions,# legal awareness sessions,# legal awareness sessions,,,,,NRC,Caza,Chouf,5,Mount Lebanon,LBN33,Chouf,,,Yes,Independent,Protection,3,0,0,0,3,Beirut & Mt.Lebanon
1884395881,2015,Feb,1/2/2015,2144655875,Protection,PRT -1.2 Access to justic documentation,PRT-1.2.4. Legal awareness /information,# legal awareness sessions,# legal awareness sessions,# legal awareness sessions,,,,,IRD,Caza,Trablous,4,North,LBN56,Trablous,,,Yes,UNHCR,Protection,1,0,0,0,1,North (Tripoli)
1836849088,2015,Jan,1/1/2015,2144655923,Protection,PRT -2.1. Community-based protection,PRT-2.1.1. Cmty. awareness/outreach(services),# awareness sessions on available services,# awareness sessions on available services,# awareness sessions on available services,,,,,IRC,Cadastral Area,Himlaya,5,Mount Lebanon,LBN36,Metn,22060,Himlaya,Yes,UNHCR,Protection,1,0,0,0,1,Beirut & Mt.Lebanon
1636962549,2015,Feb,1/2/2015,2144655923,Protection,PRT -2.1. Community-based protection,PRT-2.1.1. Cmty. awareness/outreach(services),# awareness sessions on available services,# awareness sessions on available services,# awareness sessions on available services,,,,,IRC,Cadastral Area,Kfar Habou,4,North,LBN55,Miniyeh-Danniyeh,37023,Kfar Habou,Yes,UNHCR,Protection,1,0,0,0,1,North (Tripoli)
668628135,2015,Feb,1/2/2015,2144655923,Protection,PRT -2.1. Community-based protection,PRT-2.1.1. Cmty. awareness/outreach(services),# awareness sessions on available services,# awareness sessions on available services,# awareness sessions on available services,,,,,Intersos,Cadastral Area,Marj BG,6,Bekaa,LBN24,West Bekaa,52014,Marj BG,Yes,UNHCR,Protection,1,0,0,0,1,Bekaa
1122820095,2015,Feb,1/2/2015,2144655923,Protection,PRT -2.1. Community-based protection,PRT-2.1.1. Cmty. awareness/outreach(services),# awareness sessions on available services,# awareness sessions on available services,# awareness sessions on available services,,,,,Intersos,Cadastral Area,Dahr El-Ahmar,6,Bekaa,LBN23,Rachaiya,55015,Dahr El-Ahmar,Yes,UNHCR,Protection,1,0,0,0,1,Bekaa
1608995844,2015,Jan,1/1/2015,2144655923,Protection,PRT -2.1. Community-based protection,PRT-2.1.1. Cmty. awareness/outreach(services),# awareness sessions on available services,# awareness sessions on available services,# awareness sessions on available services,,,,,NRC,Cadastral Area,Minie,4,North,LBN55,Miniyeh-Danniyeh,37020,Minie,Yes,Independent,Protection,11,0,0,0,11,North (Tripoli)
1997777883,2015,Jan,1/1/2015,2144655925,Protection,PRT -2.1. Community-based protection,PRT-2.1.1. Cmty. awareness/outreach(services),# information campaigns on available services,# information campaigns on available services,# information campaigns on available services,,,,,PU-AMI,Cadastral Area,Saida Ed-Dekermane,8,South,LBN61,Saida,61003,Saida Ed-Dekermane,Yes,UNHCR,Shelter,1,0,0,0,1,South
722285669,2015,Jan,1/1/2015,2144655928,Protection,PRT -2.1. Community-based protection,PRT-2.1.2. Activities(Cmty Dev. Centres),# individuals participating in community center and community-based activities,# individuals participating in community center and community-based activities,AffLeb - # individuals participating in community center and community-based activities,AffLeb,,,,IOM,All Locations,LOC: Baalbek,3,Baalbek-El Hermel,LBN21,Baalbek,53001,Baalbek,Yes,Independent,Protection,24,24,0,0,24,Bekaa
233956414,2015,Jan,1/1/2015,2144655936,Protection,PRT -2.1. Community-based protection,PRT-2.1.2. Activities(Cmty Dev. Centres),# individuals participating in community center and community-based activities,# individuals participating in community center and community-based activities,Age 18-25 - # individuals participating in community center and community-based activities,,,Age 18-25,,IOM,All Locations,IS: Najjariyé 001,8,South,LBN61,Saida,61016,Najjariye,Yes,Independent,Protection,32,0,0,32,0,South
1655563659,2015,Jan,1/1/2015,2144655936,Protection,PRT -2.1. Community-based protection,PRT-2.1.2. Activities(Cmty Dev. Centres),# individuals participating in community center and community-based activities,# individuals participating in community center and community-based activities,Age 18-25 - # individuals participating in community center and community-based activities,,,Age 18-25,,IRC,All Locations,LOC: Kfarchima,5,Mount Lebanon,LBN32,Baabda,21009,Kfar Chima,Yes,UNHCR,Protection,1,0,0,1,0,Beirut & Mt.Lebanon
1655563659,2015,Feb,1/2/2015,2144655936,Protection,PRT -2.1. Community-based protection,PRT-2.1.2. Activities(Cmty Dev. Centres),# individuals participating in community center and community-based activities,# individuals participating in community center and community-based activities,Age 18-25 - # individuals participating in community center and community-based activities,,,Age 18-25,,IRC,All Locations,LOC: Kfarchima,5,Mount Lebanon,LBN32,Baabda,21009,Kfar Chima,Yes,UNHCR,Protection,1,0,0,1,0,Beirut & Mt.Lebanon
1806288379,2015,Feb,1/2/2015,2144655945,Protection,PRT -2.1. Community-based protection,PRT-2.1.2. Activities(Cmty Dev. Centres),# individuals benefitting from life-skills activities,# individuals benefitting from life-skills activities,AffLeb - # individuals benefitting from life-skills activities,AffLeb,,,,DRC,All Locations,LOC: Amayer,2,Akkar,LBN51,Aakar,35162ND,Aamayer,Yes,UNHCR,Protection,33,33,0,0,33,Akkar
1791796226,2015,Feb,1/2/2015,2144655953,Protection,PRT -2.1. Community-based protection,PRT-2.1.2. Activities(Cmty Dev. Centres),# individuals benefitting from life-skills activities,# individuals benefitting from life-skills activities,Age 18-25 - # individuals benefitting from life-skills activities,,,Age 18-25,,IOM,All Locations,IS: Sarafand 004,8,South,LBN61,Saida,61019,Sarafand,Yes,Independent,Protection,8,0,0,8,0,South
