"","sector","StartDate","Category","activity","Indicator","Indicator2","Governorate","Gender","Partner","SiteType","appeal","Fundedby","allocation","rcode","gcode","Value","Units","location","region","poptype"
"24","EDUCATION","31/01/2015","Access to Inclusive Education","[REF1.1]Formal Educ Prim/Secondary","Urban/Rural Syrian # of boys and girls, parents, community members provided with information relevant for education and assisted with referral services","Urban/Rural Syrian # of boys and girls, parents, community members provided with information relevant for education and assisted with referral services","AJLOUN","","SC Jordan","   Urban areas - ","Indirect appeal","UNICEF","No","1","1701",37,"# of benef.","Ajlun City","North",""
"28","EDUCATION","31/03/2015","Access to Inclusive Education","[REF1.1]Formal Educ Prim/Secondary","Urban/Rural Syrian # of boys and girls, parents, community members provided with information relevant for education and assisted with referral services","Urban/Rural Syrian # of boys and girls, parents, community members provided with information relevant for education and assisted with referral services","TAFILAH","","SC Jordan","   Urban areas - ","Indirect appeal","UNICEF","No","3","1706",4,"# of benef.","At Tafilah City","South",""
"64","EDUCATION","31/01/2015","Quality/Protective Learning Environs.","[REF2.2]Training Edc. Service Providers","# of teachers, school supervisors, counsellors and other educational personnel trained","# of teachers, school supervisors, counsellors and other educational personnel trained","ZaatariCamp","","RI","Camp    - ","Indirect appeal","UNICEF","Yes","1","1711",65,"# of staff","Zaatari District 3","North",""
"71","EDUCATION","31/01/2015","Access to Inclusive Education","[REF1.4]Pre-Primary Education","# of caregivers and community members having received information and training on Early Childhood Care and Development","# of caregivers and community members having received information and training on Early Childhood Care and Development","ZaatariCamp","","SCI","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1711",1090,"# of staff","Zaatari Camp (all district)","North",""
"83","EDUCATION","28/02/2015","Capacity of Educ service providers","[RES4.4]Learning environ. free of violence","# of schools that have undertaken activities to improve equal access to education","# of schools that have undertaken activities to improve equal access to education","MADABA","","Caritas","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","2","1710",1,"# of facilities","Madaba Governorate","Center",""
"90","EDUCATION","31/03/2015","Quality/Protective Learning Environs.","[REF2.2]Training Edc. Service Providers","# of teachers, school supervisors, counsellors and other educational personnel trained","# of teachers, school supervisors, counsellors and other educational personnel trained","IRBID","","KnK","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","1","1707",5,"# of staff","Irbid City","North",""
"91","EDUCATION","31/01/2015","Quality/Protective Learning Environs.","[REF2.2]Training Edc. Service Providers","# of teachers, school supervisors, counsellors and other educational personnel trained","# of teachers, school supervisors, counsellors and other educational personnel trained","IRBID","","KnK","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","1","1707",28,"# of staff","Irbid City","North",""
"108","EDUCATION","28/02/2015","Capacity of Educ service providers","[RES4.4]Learning environ. free of violence","# of schools that have undertaken activities to improve equal access to education","# of schools that have undertaken activities to improve equal access to education","KARAK","","Caritas","   Urban areas - ","Direct appeal","None - Fund direct from Donors","Yes","3","1704",1,"# of facilities","Karak Governorate","South",""
"119","EDUCATION","31/03/2015","Access to Inclusive Education","[REF1.1]Formal Educ Prim/Secondary","Camps Syrian # of boys and girls, parents, community members provided with information relevant for education and assisted with referral services","Camps Syrian # of boys and girls, parents, community members provided with information relevant for education and assisted with referral services","ZaatariCamp","","SC Jordan","Camp    - ","Indirect appeal","UNICEF","No","1","1711",22451,"# of benef","Zaatari Camp (all district)","North",""
"121","EDUCATION","31/03/2015","Access to Inclusive Education","[REF1.1]Formal Educ Prim/Secondary","Camps Syrian # of female newly recruited teachers and administrative staff mobilized to serve Syrian refugee children","Camps Syrian # of female newly recruited teachers and administrative staff mobilized to serve Syrian refugee children","ZaatariCamp","","SC Jordan","Camp    - ","Indirect appeal","UNICEF","No","1","1711",4,"# of benef.","Zaatari Camp (all district)","North",""
