siteid,StartDate,EndDate,Category,activity,Year,Month,Indicator,Gender,Partner,Fundedby,RRP6Result,Governorate,SiteType,rcode,gcode,Value,Units,AllocationRRP6,RRP6,location
337325062,01/11/2014,30/11/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,November,# of WGBM benefitting from psychosocial support services,Boys,Intersos,UNICEF,UNICEF,Mafraq,0,1,1711,71,Individual,Yes,Indirect appeal,Mafraq Governorate
337325062,01/05/2014,31/5/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,May,# of WGBM benefitting from psychosocial support services,Boys,Intersos,UNICEF,UNICEF,Mafraq,0,1,1711,4,Individual,Yes,Indirect appeal,Mafraq Governorate
337325062,01/02/2014,28/2/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,February,# of WGBM benefitting from psychosocial support services,Boys,Intersos,UNICEF,UNICEF,Mafraq,0,1,1711,70,Individual,Yes,Indirect appeal,Mafraq Governorate
337325062,01/10/2014,31/10/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,October,# of WGBM benefitting from psychosocial support services,Boys,Intersos,UNICEF,UNICEF,Mafraq,0,1,1711,182,Individual,Yes,Indirect appeal,Mafraq Governorate
337325062,01/03/2014,31/3/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,March,# of WGBM benefitting from psychosocial support services,Boys,Intersos,UNICEF,UNICEF,Mafraq,0,1,1711,73,Individual,Yes,Indirect appeal,Mafraq Governorate
337325062,01/08/2014,31/8/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,August,# of WGBM benefitting from psychosocial support services,Boys,Intersos,UNICEF,UNICEF,Mafraq,0,1,1711,0,Individual,Yes,Indirect appeal,Mafraq Governorate
340670860,01/09/2014,30/9/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,September,# of WGBM benefitting from psychosocial support services,Boys,ICCS,UNICEF,UNICEF,Ajlun,0,1,1701,27,Individual,Yes,Indirect appeal,Liwa Qasabat Ajlun
340670860,01/10/2014,31/10/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,October,# of WGBM benefitting from psychosocial support services,Boys,ICCS,UNICEF,UNICEF,Ajlun,0,1,1701,22,Individual,Yes,Indirect appeal,Liwa Qasabat Ajlun
340670860,01/06/2014,30/6/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,June,# of WGBM benefitting from psychosocial support services,Boys,ICCS,UNICEF,UNICEF,Ajlun,0,1,1701,33,Individual,Yes,Indirect appeal,Liwa Qasabat Ajlun
340670860,01/04/2014,30/4/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,April,# of WGBM benefitting from psychosocial support services,Boys,ICCS,UNICEF,UNICEF,Ajlun,0,1,1701,0,Individual,Yes,Indirect appeal,Liwa Qasabat Ajlun
340670860,01/05/2014,31/5/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,May,# of WGBM benefitting from psychosocial support services,Boys,ICCS,UNICEF,UNICEF,Ajlun,0,1,1701,15,Individual,Yes,Indirect appeal,Liwa Qasabat Ajlun
340670860,01/11/2014,30/11/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,November,# of WGBM benefitting from psychosocial support services,Boys,ICCS,UNICEF,UNICEF,Ajlun,0,1,1701,15,Individual,Yes,Indirect appeal,Liwa Qasabat Ajlun
340670860,01/07/2014,31/7/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,July,# of WGBM benefitting from psychosocial support services,Boys,ICCS,UNICEF,UNICEF,Ajlun,0,1,1701,13,Individual,Yes,Indirect appeal,Liwa Qasabat Ajlun
340670860,01/08/2014,31/8/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,August,# of WGBM benefitting from psychosocial support services,Boys,ICCS,UNICEF,UNICEF,Ajlun,0,1,1701,14,Individual,Yes,Indirect appeal,Liwa Qasabat Ajlun
389852817,01/05/2014,31/5/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,May,# of WGBM benefitting from psychosocial support services,Boys,UPP,Others,None,Al Balqa,0,2,1702,0,Individual,Yes,Direct appeal,Liwa Qasabat As Salt
389852817,01/03/2014,31/3/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,March,# of WGBM benefitting from psychosocial support services,Boys,UPP,Others,None,Al Balqa,0,2,1702,12,Individual,Yes,Direct appeal,Liwa Qasabat As Salt
389852817,01/01/2014,31/1/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,January,# of WGBM benefitting from psychosocial support services,Boys,UPP,Others,None,Al Balqa,0,2,1702,6,Individual,Yes,Direct appeal,Liwa Qasabat As Salt
389852817,01/02/2014,28/2/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,February,# of WGBM benefitting from psychosocial support services,Boys,UPP,Others,None,Al Balqa,0,2,1702,1,Individual,Yes,Direct appeal,Liwa Qasabat As Salt
389852817,01/04/2014,30/4/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,April,# of WGBM benefitting from psychosocial support services,Boys,UPP,Others,None,Al Balqa,0,2,1702,5,Individual,Yes,Direct appeal,Liwa Qasabat As Salt
422348081,01/04/2014,30/4/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,April,# of WGBM benefitting from psychosocial support services,Boys,IFH/NHF ,UNFPA,UNFPA,Amman,0,2,1705,4,Individual,Yes,Indirect appeal,Amman Governorate
422348081,01/05/2014,31/5/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,May,# of WGBM benefitting from psychosocial support services,Boys,IFH/NHF ,UNFPA,UNFPA,Amman,0,2,1705,0,Individual,Yes,Indirect appeal,Amman Governorate
425435594,01/07/2014,31/7/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,July,# of WGBM benefitting from psychosocial support services,Boys,SCI,Others,None,Amman,0,2,1705,1,Individual,No,Appeal outside of RRP6,Amman Governorate
458364763,01/01/2014,31/1/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,January,# of WGBM benefitting from psychosocial support services,Boys,MC,UNICEF,UNICEF,Zarqa,1,2,1712,0,Individual,Yes,Indirect appeal,Azraq Camp Village 3
458364763,01/11/2014,30/11/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,November,# of WGBM benefitting from psychosocial support services,Boys,MC,UNICEF,UNICEF,Zarqa,1,2,1712,0,Individual,Yes,Indirect appeal,Azraq Camp Village 3
458364763,01/08/2014,31/8/2014 00:00:00,RRP6 - Performance Indicators,5. Psychosocial support services,2014,August,# of WGBM benefitting from psychosocial support services,Boys,MC,UNICEF,UNICEF,Zarqa,1,2,1712,0,Individual,Yes,Indirect appeal,Azraq Camp Village 3
