"","sector","StartDate","Category","activity","Indicator","Indicator2","Governorate","Gender","Partner","SiteType","appeal","Fundedby","allocation","rcode","gcode","Value","Units","location","region","poptype"
"15859","SHELTER","30/4/2015","Camps Adequate Shelter & Services","[REF1.1]Improving living conditions in Zaatar","# of people benefitting from existing shelters and associated facilities upgraded","Camps Syrian Girls (Age 0-17) # of people benefitting from existing shelters and associated facilities upgraded","AzraqCamp","Girls","UNHCR","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1712",2101,"# of benef.","Azraq Camp","North","Camp"
"16089","SHELTER","30/3/2015","Camps Adequate Shelter & Services","[REF1.1]Improving living conditions in Zaatar","# of people benefitting from existing shelters and associated facilities upgraded","Camps Syrian Girls (Age 0-17) # of people benefitting from existing shelters and associated facilities upgraded","AzraqCamp","Girls","UNHCR","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1712",1109,"# of benef.","Azraq Camp","North","Camp"
"16211","SHELTER","30/1/2015","Camps Adequate Shelter & Services","[REF1.1]Improving living conditions in Zaatar","# of people benefitting from existing shelters and associated facilities upgraded","Camps Syrian Boys (Age 0-17) # of people benefitting from existing shelters and associated facilities upgraded","AzraqCamp","Boys","UNHCR","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1712",1908,"# of benef.","Azraq Camp","North","Camp"
"16475","SHELTER","28/2/2015","Camps Adequate Shelter & Services","[REF1.1]Improving living conditions in Zaatar","# of people benefitting from existing shelters and associated facilities upgraded","Camps Syrian Women (Age 18 and above) # of people benefitting from existing shelters and associated facilities upgraded","AzraqCamp","Women","UNHCR","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1712",2405,"# of benef.","Azraq Camp","North","Camp"
"16546","SHELTER","30/1/2015","Camps Adequate Shelter & Services","[REF1.1]Improving living conditions in Zaatar","# of people benefitting from existing shelters and associated facilities upgraded","Camps Syrian Men (Age 18 and above) # of people benefitting from existing shelters and associated facilities upgraded","AzraqCamp","Men","UNHCR","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1712",1484,"# of benef.","Azraq Camp","North","Camp"
"16629","SHELTER","30/1/2015","Camps Adequate Shelter & Services","[REF1.1]Improving living conditions in Zaatar","# of people benefitting from existing shelters and associated facilities upgraded","Camps Syrian Women (Age 18 and above) # of people benefitting from existing shelters and associated facilities upgraded","AzraqCamp","Women","UNHCR","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1712",1696,"# of benef.","Azraq Camp","North","Camp"
"16630","SHELTER","30/5/2015","Camps Adequate Shelter & Services","[REF1.1]Improving living conditions in Zaatar","# of people benefitting from existing shelters and associated facilities upgraded","Camps Syrian Women (Age 18 and above) # of people benefitting from existing shelters and associated facilities upgraded","AzraqCamp","Women","UNHCR","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1712",1898,"# of benef.","Azraq Camp","North","Camp"
"16655","SHELTER","30/3/2015","Camps Adequate Shelter & Services","[REF1.1]Improving living conditions in Zaatar","# of people benefitting from existing shelters and associated facilities upgraded","Camps Syrian Women (Age 18 and above) # of people benefitting from existing shelters and associated facilities upgraded","AzraqCamp","Women","UNHCR","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1712",950,"# of benef.","Azraq Camp","North","Camp"
"16662","SHELTER","28/2/2015","Camps Adequate Shelter & Services","[REF1.1]Improving living conditions in Zaatar","# of people benefitting from existing shelters and associated facilities upgraded","Camps Syrian Boys (Age 0-17) # of people benefitting from existing shelters and associated facilities upgraded","AzraqCamp","Boys","UNHCR","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1712",2705,"# of benef.","Azraq Camp","North","Camp"
"16667","SHELTER","30/4/2015","Camps Adequate Shelter & Services","[REF1.1]Improving living conditions in Zaatar","# of people benefitting from existing shelters and associated facilities upgraded","Camps Syrian Boys (Age 0-17) # of people benefitting from existing shelters and associated facilities upgraded","AzraqCamp","Boys","UNHCR","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1712",2026,"# of benef.","Azraq Camp","North","Camp"
"16697","SHELTER","30/5/2015","Camps Adequate Shelter & Services","[REF1.1]Improving living conditions in Zaatar","# of people benefitting from existing shelters and associated facilities upgraded","Camps Syrian Boys (Age 0-17) # of people benefitting from existing shelters and associated facilities upgraded","AzraqCamp","Boys","UNHCR","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1712",2136,"# of benef.","Azraq Camp","North","Camp"
"16708","SHELTER","28/2/2015","Camps Adequate Shelter & Services","[REF1.1]Improving living conditions in Zaatar","# of people benefitting from existing shelters and associated facilities upgraded","Camps Syrian Men (Age 18 and above) # of people benefitting from existing shelters and associated facilities upgraded","AzraqCamp","Men","UNHCR","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1712",2104,"# of benef.","Azraq Camp","North","Camp"
"16709","SHELTER","30/4/2015","Camps Adequate Shelter & Services","[REF1.1]Improving living conditions in Zaatar","# of people benefitting from existing shelters and associated facilities upgraded","Camps Syrian Women (Age 18 and above) # of people benefitting from existing shelters and associated facilities upgraded","AzraqCamp","Women","UNHCR","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1712",1801,"# of benef.","Azraq Camp","North","Camp"
"16718","SHELTER","30/4/2015","Camps Adequate Shelter & Services","[REF1.1]Improving living conditions in Zaatar","# of people benefitting from existing shelters and associated facilities upgraded","Camps Syrian Men (Age 18 and above) # of people benefitting from existing shelters and associated facilities upgraded","AzraqCamp","Men","UNHCR","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1712",1577,"# of benef.","Azraq Camp","North","Camp"
"16752","SHELTER","30/5/2015","Camps Adequate Shelter & Services","[REF1.1]Improving living conditions in Zaatar","# of people benefitting from existing shelters and associated facilities upgraded","Camps Syrian Girls (Age 0-17) # of people benefitting from existing shelters and associated facilities upgraded","AzraqCamp","Girls","UNHCR","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1712",2215,"# of benef.","Azraq Camp","North","Camp"
"16789","SHELTER","30/3/2015","Camps Adequate Shelter & Services","[REF1.1]Improving living conditions in Zaatar","# of people benefitting from existing shelters and associated facilities upgraded","Camps Syrian Boys (Age 0-17) # of people benefitting from existing shelters and associated facilities upgraded","AzraqCamp","Boys","UNHCR","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1712",1069,"# of benef.","Azraq Camp","North","Camp"
"16790","SHELTER","30/3/2015","Camps Adequate Shelter & Services","[REF1.1]Improving living conditions in Zaatar","# of people benefitting from existing shelters and associated facilities upgraded","Camps Syrian Men (Age 18 and above) # of people benefitting from existing shelters and associated facilities upgraded","AzraqCamp","Men","UNHCR","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1712",832,"# of benef.","Azraq Camp","North","Camp"
