"","sector","StartDate","Category","activity","Indicator","Indicator2","Governorate","Gender","Partner","SiteType","appeal","Fundedby","allocation","rcode","gcode","Value","Units","location","region","poptype"
"3056","WASH","30/8/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Urban/Rural Syrian Girls (Age 0-17) # with access to potable water as per the agreed minimum standards.","BALQA","Girls","OXFAM","   Urban areas - ","Direct appeal","None - Fund direct from Donors","No","2","1702",237,"# of benef","Al Balqa Governorate","Center","Urban"
"3068","WASH","30/8/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Urban/Rural Syrian Men (Age 18 and above) # with access to potable water as per the agreed minimum standards.","BALQA","Men","OXFAM","   Urban areas - ","Direct appeal","None - Fund direct from Donors","No","2","1702",223,"# of benef","Al Balqa Governorate","Center","Urban"
"4851","WASH","30/8/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Urban/Rural Syrian Women (Age 18 and above) # with access to potable water as per the agreed minimum standards.","BALQA","Women","OXFAM","   Urban areas - ","Direct appeal","None - Fund direct from Donors","No","2","1702",280,"# of benef","Al Balqa Governorate","Center","Urban"
"5227","WASH","30/8/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Urban/Rural Syrian Women (Age 18 and above) # with access to potable water as per the agreed minimum standards.","BALQA","Women","OXFAM","   Urban areas - ","Direct appeal","None - Fund direct from Donors","No","2","1702",395,"# of benef","Al Balqa Governorate","Center","Urban"
"5342","WASH","30/8/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Urban/Rural Syrian Boys (Age 0-17) # with access to potable water as per the agreed minimum standards.","BALQA","Boys","OXFAM","   Urban areas - ","Direct appeal","None - Fund direct from Donors","No","2","1702",239,"# of benef","Al Balqa Governorate","Center","Urban"
"5620","WASH","30/8/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Urban/Rural Syrian Boys (Age 0-17) # with access to potable water as per the agreed minimum standards.","BALQA","Boys","OXFAM","   Urban areas - ","Direct appeal","None - Fund direct from Donors","No","2","1702",154,"# of benef","Al Balqa Governorate","Center","Urban"
"6835","WASH","30/8/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Urban/Rural Syrian Girls (Age 0-17) # with access to potable water as per the agreed minimum standards.","BALQA","Girls","OXFAM","   Urban areas - ","Direct appeal","None - Fund direct from Donors","No","2","1702",172,"# of benef","Al Balqa Governorate","Center","Urban"
"6878","WASH","30/8/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Urban/Rural Syrian Men (Age 18 and above) # with access to potable water as per the agreed minimum standards.","BALQA","Men","OXFAM","   Urban areas - ","Direct appeal","None - Fund direct from Donors","No","2","1702",138,"# of benef","Al Balqa Governorate","Center","Urban"
"55780","WASH","30/3/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Boys (Age 0-17) # with access to potable water as per the agreed minimum standards.","AZRAQCAMP","Boys","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",4936,"# of benef","Azraq Camp","North","Camp"
"55781","WASH","30/3/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Girls (Age 0-17) # with access to potable water as per the agreed minimum standards.","AZRAQCAMP","Girls","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",4491,"# of benef","Azraq Camp","North","Camp"
"55782","WASH","30/3/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Men (Age 18 and above) # with access to potable water as per the agreed minimum standards.","AZRAQCAMP","Men","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",3873,"# of benef","Azraq Camp","North","Camp"
"55783","WASH","30/3/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Women (Age 18 and above) # with access to potable water as per the agreed minimum standards.","AZRAQCAMP","Women","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",3868,"# of benef","Azraq Camp","North","Camp"
"56369","WASH","30/6/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Boys (Age 0-17) # with access to potable water as per the agreed minimum standards.","AZRAQCAMP","Boys","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",5680,"# of benef","Azraq Camp","North","Camp"
"56815","WASH","30/10/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Girls (Age 0-17) # with access to potable water as per the agreed minimum standards.","AZRAQCAMP","Girls","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",7175,"# of benef","Azraq Camp","North","Camp"
"56867","WASH","30/1/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Girls (Age 0-17) # with access to potable water as per the agreed minimum standards.","AZRAQCAMP","Girls","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",3087,"# of benef","Azraq Camp","North","Camp"
"56868","WASH","30/1/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Men (Age 18 and above) # with access to potable water as per the agreed minimum standards.","AZRAQCAMP","Men","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",2849,"# of benef","Azraq Camp","North","Camp"
"56869","WASH","30/1/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Women (Age 18 and above) # with access to potable water as per the agreed minimum standards.","AZRAQCAMP","Women","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",2698,"# of benef","Azraq Camp","North","Camp"
"57029","WASH","30/7/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Women (Age 18 and above) # with access to potable water as per the agreed minimum standards.","AZRAQCAMP","Women","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",4734,"# of benef","Azraq Camp","North","Camp"
"57062","WASH","30/7/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Girls (Age 0-17) # with access to potable water as per the agreed minimum standards.","AZRAQCAMP","Girls","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",5663,"# of benef","Azraq Camp","North","Camp"
"57074","WASH","30/4/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Girls (Age 0-17) # with access to potable water as per the agreed minimum standards.","AZRAQCAMP","Girls","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",4683,"# of benef","Azraq Camp","North","Camp"
"57180","WASH","30/10/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Men (Age 18 and above) # with access to potable water as per the agreed minimum standards.","AZRAQCAMP","Men","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",5417,"# of benef","Azraq Camp","North","Camp"
"57182","WASH","30/7/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Boys (Age 0-17) # with access to potable water as per the agreed minimum standards.","AZRAQCAMP","Boys","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",6050,"# of benef","Azraq Camp","North","Camp"
"57245","WASH","30/8/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Girls (Age 0-17) # with access to potable water as per the agreed minimum standards.","AZRAQCAMP","Girls","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",6110,"# of benef","Azraq Camp","North","Camp"
"57256","WASH","30/9/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Women (Age 18 and above) # with access to potable water as per the agreed minimum standards.","AZRAQCAMP","Women","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",5654,"# of benef","Azraq Camp","North","Camp"
"57837","WASH","30/1/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Boys (Age 0-17) # with access to potable water as per the agreed minimum standards.","AZRAQCAMP","Boys","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",3314,"# of benef","Azraq Camp","North","Camp"
"58617","WASH","30/9/2015","Access to Safe Water","[REF1.1]Trucking to Communal facs.","# with access to potable water as per the agreed minimum standards.","Camps Syrian Boys (Age 0-17) # with access to potable water as per the agreed minimum standards.","AZRAQCAMP","Boys","ACTED","Camp    - ","Indirect appeal","UNICEF","Yes","1","1712",7135,"# of benef","Azraq Camp","North","Camp"
