"","Indicator","Units","Value","Partner","StartDate","appeal","Fundedby","allocation","activity","region","Sector","Governorate","Gender","poptype"
"52","# of SYRIAN_WOMEN_IN_CAMPS provided with new arrival kits","#",1881,"NRC","01/05/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Women","Camp"
"53","# of SYRIAN_WOMEN_IN_CAMPS provided with new arrival kits","#",1842,"NRC","01/04/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Women","Camp"
"54","# of SYRIAN_WOMEN_IN_CAMPS provided with new arrival kits","#",793,"NRC","01/01/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Women","Camp"
"55","# of SYRIAN_WOMEN_IN_CAMPS provided with new arrival kits","#",1032,"NRC","01/07/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Women","Camp"
"56","# of SYRIAN_MEN_IN_CAMPS provided with new arrival kits","#",745,"NRC","01/07/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Men","Camp"
"60","# of SYRIAN_WOMEN_IN_CAMPS provided with new arrival kits","#",1105,"NRC","01/03/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Women","Camp"
"63","# of SYRIAN_WOMEN_IN_CAMPS provided with new arrival kits","#",175,"NRC","01/08/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Women","Camp"
"65","# of SYRIAN_MEN_IN_CAMPS provided with new arrival kits","#",1384,"NRC","01/04/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Men","Camp"
"66","# of SYRIAN_MEN_IN_CAMPS provided with new arrival kits","#",1455,"NRC","01/05/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Men","Camp"
"67","# of SYRIAN_MEN_IN_CAMPS provided with new arrival kits","#",611,"NRC","01/01/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Men","Camp"
"69","# of SYRIAN_GIRLS_IN_CAMPS provided with new arrival kits","#",2403,"NRC","01/05/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Girls","Camp"
"70","# of SYRIAN_WOMEN_IN_CAMPS provided with new arrival kits","#",855,"NRC","01/02/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Women","Camp"
"71","# of SYRIAN_MEN_IN_CAMPS provided with new arrival kits","#",676,"NRC","01/02/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Men","Camp"
"72","# of SYRIAN_GIRLS_IN_CAMPS provided with new arrival kits","#",1352,"NRC","01/07/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Girls","Camp"
"74","# of SYRIAN_WOMEN_IN_CAMPS provided with new arrival kits","#",841,"NRC","01/06/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Women","Camp"
"75","# of SYRIAN_GIRLS_IN_CAMPS provided with new arrival kits","#",731,"NRC","01/01/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Girls","Camp"
"78","# of SYRIAN_MEN_IN_CAMPS provided with new arrival kits","#",116,"NRC","01/08/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Men","Camp"
"80","# of SYRIAN_BOYS_IN_CAMPS provided with new arrival kits","#",1292,"NRC","01/03/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Boys","Camp"
"81","# of SYRIAN_GIRLS_IN_CAMPS provided with new arrival kits","#",2042,"NRC","01/04/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Girls","Camp"
"82","# of SYRIAN_GIRLS_IN_CAMPS provided with new arrival kits","#",198,"NRC","01/08/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Girls","Camp"
"83","# of SYRIAN_MEN_IN_CAMPS provided with new arrival kits","#",830,"NRC","01/03/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Men","Camp"
"86","# of SYRIAN_GIRLS_IN_CAMPS provided with new arrival kits","#",1225,"NRC","01/03/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Girls","Camp"
"87","# of SYRIAN_GIRLS_IN_CAMPS provided with new arrival kits","#",1043,"NRC","01/06/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Girls","Camp"
"88","# of SYRIAN_BOYS_IN_CAMPS provided with new arrival kits","#",2154,"NRC","01/04/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Boys","Camp"
"90","# of SYRIAN_BOYS_IN_CAMPS provided with new arrival kits","#",882,"NRC","01/02/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Boys","Camp"
"92","# of SYRIAN_BOYS_IN_CAMPS provided with new arrival kits","#",1316,"NRC","01/07/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Boys","Camp"
"93","# of SYRIAN_MEN_IN_CAMPS provided with new arrival kits","#",612,"NRC","01/06/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Men","Camp"
"94","# of SYRIAN_BOYS_IN_CAMPS provided with new arrival kits","#",1106,"NRC","01/06/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Boys","Camp"
"95","# of SYRIAN_BOYS_IN_CAMPS provided with new arrival kits","#",879,"NRC","01/01/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Boys","Camp"
"96","# of SYRIAN_GIRLS_IN_CAMPS provided with new arrival kits","#",909,"NRC","01/02/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Girls","Camp"
"97","# of SYRIAN_BOYS_IN_CAMPS provided with new arrival kits","#",168,"NRC","01/08/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","Central","BASICNEEDS","AzraqCamp","Boys","Camp"
