"","sector","StartDate","Category","activity","Indicator","Indicator2","Governorate","Gender","Partner","SiteType","appeal","Fundedby","allocation","rcode","gcode","Value","Units","location","region","poptype"
"44670","BN","31/5/2016","Life Saving Basic Needs","[REF2.1.1]New Arrival kits in Camps","# of SYRIAN_FHH_IN_CAMPS provided with new arrival kits","# of SYRIAN_FHH_IN_CAMPS provided with new arrival kits","AZRAQCAMP","","NRC","Camp    - ","Indirect Implementation","UNHCR","Yes","1","1712",575,"#","Azraq Camp","North",""
"44712","BN","29/2/2016","Life Saving Basic Needs","[REF2.1.1]New Arrival kits in Camps","# of SYRIAN_FHH_IN_CAMPS provided with new arrival kits","# of SYRIAN_FHH_IN_CAMPS provided with new arrival kits","AZRAQCAMP","","NRC","Camp    - ","Indirect Implementation","UNHCR","Yes","1","1712",326,"#","Azraq Camp","North",""
"44890","BN","31/3/2016","Life Saving Basic Needs","[REF2.1.1]New Arrival kits in Camps","# of SYRIAN_MHH_IN_CAMPS provided with new arrival kits","# of SYRIAN_MHH_IN_CAMPS provided with new arrival kits","AZRAQCAMP","","NRC","Camp    - ","Indirect Implementation","UNHCR","Yes","1","1712",747,"#","Azraq Camp","North",""
"45644","BN","31/3/2016","Life Saving Basic Needs","[REF2.1.1]New Arrival kits in Camps","# of SYRIAN_FHH_IN_CAMPS provided with new arrival kits","# of SYRIAN_FHH_IN_CAMPS provided with new arrival kits","AZRAQCAMP","","NRC","Camp    - ","Indirect Implementation","UNHCR","Yes","1","1712",483,"#","Azraq Camp","North",""
"45685","BN","29/2/2016","Life Saving Basic Needs","[REF2.1.1]New Arrival kits in Camps","# of SYRIAN_MHH_IN_CAMPS provided with new arrival kits","# of SYRIAN_MHH_IN_CAMPS provided with new arrival kits","AZRAQCAMP","","NRC","Camp    - ","Indirect Implementation","UNHCR","Yes","1","1712",593,"#","Azraq Camp","North",""
"45701","BN","31/1/2016","Life Saving Basic Needs","[REF2.1.1]New Arrival kits in Camps","# of SYRIAN_FHH_IN_CAMPS provided with new arrival kits","# of SYRIAN_FHH_IN_CAMPS provided with new arrival kits","AZRAQCAMP","","NRC","Camp    - ","Indirect Implementation","UNHCR","Yes","1","1712",350,"#","Azraq Camp","North",""
"46494","BN","31/5/2016","Life Saving Basic Needs","[REF2.1.1]New Arrival kits in Camps","# of SYRIAN_MHH_IN_CAMPS provided with new arrival kits","# of SYRIAN_MHH_IN_CAMPS provided with new arrival kits","AZRAQCAMP","","NRC","Camp    - ","Indirect Implementation","UNHCR","Yes","1","1712",1291,"#","Azraq Camp","North",""
"46690","BN","30/4/2016","Life Saving Basic Needs","[REF2.1.1]New Arrival kits in Camps","# of SYRIAN_MHH_IN_CAMPS provided with new arrival kits","# of SYRIAN_MHH_IN_CAMPS provided with new arrival kits","AZRAQCAMP","","NRC","Camp    - ","Indirect Implementation","UNHCR","Yes","1","1712",803,"#","Azraq Camp","North",""
"46713","BN","31/1/2016","Life Saving Basic Needs","[REF2.1.1]New Arrival kits in Camps","# of SYRIAN_MHH_IN_CAMPS provided with new arrival kits","# of SYRIAN_MHH_IN_CAMPS provided with new arrival kits","AZRAQCAMP","","NRC","Camp    - ","Indirect Implementation","UNHCR","Yes","1","1712",526,"#","Azraq Camp","North",""
"47660","BN","30/4/2016","Life Saving Basic Needs","[REF2.1.1]New Arrival kits in Camps","# of SYRIAN_FHH_IN_CAMPS provided with new arrival kits","# of SYRIAN_FHH_IN_CAMPS provided with new arrival kits","AZRAQCAMP","","NRC","Camp    - ","Indirect Implementation","UNHCR","Yes","1","1712",519,"#","Azraq Camp","North",""
"35851","BN","31/5/2016","Life Saving Basic Needs","[REF2.1.1]New Arrival kits in Camps","# of SYRIAN_MHH_IN_CAMPS provided with new arrival kits","# of SYRIAN_MHH_IN_CAMPS provided with new arrival kits","ZAATARICAMP","","NRC","Camp    - ","Indirect Implementation","UNHCR","Yes","1","1711",237,"#","Zaatari Camp (all district)","North",""
"35852","BN","31/5/2016","Life Saving Basic Needs","[REF2.1.1]New Arrival kits in Camps","# of SYRIAN_FHH_IN_CAMPS provided with new arrival kits","# of SYRIAN_FHH_IN_CAMPS provided with new arrival kits","ZAATARICAMP","","NRC","Camp    - ","Indirect Implementation","UNHCR","Yes","1","1711",112,"#","Zaatari Camp (all district)","North",""
"35861","BN","31/1/2016","Life Saving Basic Needs","[REF2.1.1]New Arrival kits in Camps","# of SYRIAN_FHH_IN_CAMPS provided with new arrival kits","# of SYRIAN_FHH_IN_CAMPS provided with new arrival kits","ZAATARICAMP","","NRC","Camp    - ","Indirect Implementation","UNHCR","Yes","1","1711",197,"#","Zaatari Camp (all district)","North",""
"35864","BN","29/2/2016","Life Saving Basic Needs","[REF2.1.1]New Arrival kits in Camps","# of SYRIAN_MHH_IN_CAMPS provided with new arrival kits","# of SYRIAN_MHH_IN_CAMPS provided with new arrival kits","ZAATARICAMP","","NRC","Camp    - ","Indirect Implementation","UNHCR","Yes","1","1711",540,"#","Zaatari Camp (all district)","North",""
"35867","BN","30/4/2016","Life Saving Basic Needs","[REF2.1.1]New Arrival kits in Camps","# of SYRIAN_FHH_IN_CAMPS provided with new arrival kits","# of SYRIAN_FHH_IN_CAMPS provided with new arrival kits","ZAATARICAMP","","NRC","Camp    - ","Indirect Implementation","UNHCR","Yes","1","1711",117,"#","Zaatari Camp (all district)","North",""
"35883","BN","31/1/2016","Life Saving Basic Needs","[REF2.1.1]New Arrival kits in Camps","# of SYRIAN_MHH_IN_CAMPS provided with new arrival kits","# of SYRIAN_MHH_IN_CAMPS provided with new arrival kits","ZAATARICAMP","","NRC","Camp    - ","Indirect Implementation","UNHCR","Yes","1","1711",696,"#","Zaatari Camp (all district)","North",""
"35884","BN","30/4/2016","Life Saving Basic Needs","[REF2.1.1]New Arrival kits in Camps","# of SYRIAN_MHH_IN_CAMPS provided with new arrival kits","# of SYRIAN_MHH_IN_CAMPS provided with new arrival kits","ZAATARICAMP","","NRC","Camp    - ","Indirect Implementation","UNHCR","Yes","1","1711",247,"#","Zaatari Camp (all district)","North",""
"35930","BN","29/2/2016","Life Saving Basic Needs","[REF2.1.1]New Arrival kits in Camps","# of SYRIAN_FHH_IN_CAMPS provided with new arrival kits","# of SYRIAN_FHH_IN_CAMPS provided with new arrival kits","ZAATARICAMP","","NRC","Camp    - ","Indirect Implementation","UNHCR","Yes","1","1711",77,"#","Zaatari Camp (all district)","North",""
