"","Indicator","Units","Value","Partner","StartDate","appeal","Fundedby","allocation","activity","region","Sector","Governorate","Gender","poptype"
"15429","# of SYRIAN_BOYS_IN_CAMPS enrolled in Jordanian public schools (primary and secondary)","# of boys",12838,"UNICEF","01/01/2016","Direct Implementation","UNICEF","Yes","[REF3.2.4]Enrollment in public schools",(unknown),"EDUCATION","Countrywide","Boys","Camp"
"15430","# of SYRIAN_GIRLS_IN_CAMPS enrolled in Jordanian public schools (primary and secondary)","# of girls",13362,"UNICEF","01/01/2016","Direct Implementation","UNICEF","Yes","[REF3.2.4]Enrollment in public schools",(unknown),"EDUCATION","Countrywide","Girls","Camp"
"15431","# of SYRIAN_BOYS_IN_URBAN enrolled in Jordanian public schools (primary and secondary)","# of boys",56980,"UNICEF","01/01/2016","Direct Implementation","UNICEF","Yes","[REF3.2.4]Enrollment in public schools",(unknown),"EDUCATION","Countrywide","Boys","Urban"
"15432","# of SYRIAN_GIRLS_IN_URBAN enrolled in Jordanian public schools (primary and secondary)","# of girls",62278,"UNICEF","01/01/2016","Direct Implementation","UNICEF","Yes","[REF3.2.4]Enrollment in public schools",(unknown),"EDUCATION","Countrywide","Girls","Urban"
"49164","%  of SYRIAN_MEN_IN_CAMPS with acceptable food consumption","%",0,"WVI","01/07/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance",(unknown),"FOOD","Countrywide","Men","Camp"
"49165","#  of MEN_IN_HOST_COMMUNITYreceiving food assistance","# men",9716,"WVI","01/07/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance",(unknown),"FOOD","Countrywide","Men","Host Community"
"49166","% of SYRIAN_BOYS_IN_URBAN with acceptable food consumption","%",0,"WVI","01/07/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance",(unknown),"FOOD","Countrywide","Boys","Urban"
"49167","% of WOMEN_IN_HOST_COMMUNITY with acceptable food consumption","%",0,"WVI","01/07/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance",(unknown),"FOOD","Countrywide","Men","Host Community"
"49168","# of SYRIAN_BOYS_IN_URBAN receiving food assistance","# boys",0,"WVI","01/07/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance",(unknown),"FOOD","Countrywide","Boys","Urban"
"49169","# of BOYS_IN_HOST_COMMUNITY receiving food assistance","# boys",0,"WVI","01/04/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance",(unknown),"FOOD","Countrywide","Boys","Host Community"
"49170","# of WOMEN_IN_HOST_COMMUNITY receiving food assistance","# women",0,"WVI","01/02/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance",(unknown),"FOOD","Countrywide","Men","Host Community"
"49171","# of BOYS_IN_HOST_COMMUNITY receiving food assistance","# boys",0,"WVI","01/02/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance",(unknown),"FOOD","Countrywide","Boys","Host Community"
"49172","# of WOMEN_IN_HOST_COMMUNITY receiving food assistance","# women",17454,"WVI","01/09/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance",(unknown),"FOOD","Countrywide","Men","Host Community"
