"","Indicator","Units","Value","Partner","StartDate","appeal","Fundedby","allocation","activity","region","Sector","Governorate","Gender","poptype"
"49085","# of SYRIAN_GIRLS_IN_CAMPS  receiving food assistance","# girls",20889,"WFP","01/06/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Girls","Camp"
"49086","# of SYRIAN_BOYS_IN_CAMPS receiving food assistance","# boys",22187,"WFP","01/08/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Boys","Camp"
"49087","# of SYRIAN_BOYS_IN_CAMPS receiving food assistance","# boys",22217,"WFP","01/05/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Boys","Camp"
"49088","# of SYRIAN_MEN_IN_CAMPS receiving food assistance","# men",15423,"WFP","01/02/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Men","Camp"
"49089","# of SYRIAN_GIRLS_IN_CAMPS  receiving food assistance","# girls",21000,"WFP","01/02/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Girls","Camp"
"49090","# of SYRIAN_WOMEN_IN_CAMPS receiving food assistance","# women",17371,"WFP","01/02/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Women","Camp"
"49091","# of SYRIAN_MEN_IN_CAMPS receiving food assistance","# men",15387,"WFP","01/04/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Men","Camp"
"49092","# of SYRIAN_GIRLS_IN_CAMPS  receiving food assistance","# girls",20975,"WFP","01/03/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Girls","Camp"
"49093","# of SYRIAN_WOMEN_IN_CAMPS receiving food assistance","# women",17311,"WFP","01/05/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Women","Camp"
"49094","# of SYRIAN_GIRLS_IN_CAMPS  receiving food assistance","# girls",20867,"WFP","01/01/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Girls","Camp"
"49095","# of SYRIAN_MEN_IN_CAMPS receiving food assistance","# men",15349,"WFP","01/08/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Men","Camp"
"49096","# of SYRIAN_BOYS_IN_CAMPS receiving food assistance","# boys",22152,"WFP","01/01/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Boys","Camp"
"49097","# of SYRIAN_WOMEN_IN_CAMPS receiving food assistance","# women",17279,"WFP","01/06/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Women","Camp"
"49098","# of SYRIAN_GIRLS_IN_CAMPS  receiving food assistance","# girls",20900,"WFP","01/08/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Girls","Camp"
"49099","# of SYRIAN_MEN_IN_CAMPS receiving food assistance","# men",15314,"WFP","01/09/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Men","Camp"
"49100","# of SYRIAN_MEN_IN_CAMPS receiving food assistance","# men",15341,"WFP","01/06/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Men","Camp"
"49101","# of SYRIAN_MEN_IN_CAMPS receiving food assistance","# men",15370,"WFP","01/05/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Men","Camp"
"49102","# of SYRIAN_BOYS_IN_CAMPS receiving food assistance","# boys",22242,"WFP","01/04/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Boys","Camp"
"49103","# of SYRIAN_WOMEN_IN_CAMPS receiving food assistance","# women",17331,"WFP","01/04/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Women","Camp"
"49104","# of SYRIAN_GIRLS_IN_CAMPS  receiving food assistance","# girls",20952,"WFP","01/04/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Girls","Camp"
"49105","# of SYRIAN_BOYS_IN_CAMPS receiving food assistance","# boys",22175,"WFP","01/06/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Boys","Camp"
"49106","# of SYRIAN_WOMEN_IN_CAMPS receiving food assistance","# women",17288,"WFP","01/08/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Women","Camp"
"49107","# of SYRIAN_GIRLS_IN_CAMPS  receiving food assistance","# girls",20928,"WFP","01/05/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Girls","Camp"
"49108","# of SYRIAN_WOMEN_IN_CAMPS receiving food assistance","# women",17350,"WFP","01/03/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Women","Camp"
"49109","# of SYRIAN_MEN_IN_CAMPS receiving food assistance","# men",15341,"WFP","01/07/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Men","Camp"
"49110","# of SYRIAN_BOYS_IN_CAMPS receiving food assistance","# boys",22175,"WFP","01/07/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Boys","Camp"
"49111","# of SYRIAN_WOMEN_IN_CAMPS receiving food assistance","# women",17260,"WFP","01/01/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Women","Camp"
"49112","# of SYRIAN_BOYS_IN_CAMPS receiving food assistance","# boys",22267,"WFP","01/03/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Boys","Camp"
"49113","# of SYRIAN_WOMEN_IN_CAMPS receiving food assistance","# women",17279,"WFP","01/07/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Women","Camp"
"49114","# of SYRIAN_WOMEN_IN_CAMPS receiving food assistance","# women",17249,"WFP","01/09/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Women","Camp"
"49115","# of SYRIAN_BOYS_IN_CAMPS receiving food assistance","# boys",22371,"WFP","01/02/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Boys","Camp"
"49116","# of SYRIAN_GIRLS_IN_CAMPS  receiving food assistance","# girls",20889,"WFP","01/07/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Girls","Camp"
"49117","# of SYRIAN_MEN_IN_CAMPS receiving food assistance","# men",15405,"WFP","01/03/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Men","Camp"
"49118","# of SYRIAN_BOYS_IN_CAMPS receiving food assistance","# boys",22137,"WFP","01/09/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Boys","Camp"
"49119","# of SYRIAN_MEN_IN_CAMPS receiving food assistance","# men",15325,"WFP","01/01/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","North","FOOD","ZaatariCamp","Men","Camp"
"49121","%  of SYRIAN_MEN_IN_URBAN with acceptable food consumption","%",428,"LWF","01/03/2016","Appeal outside of 3RP","None - Fund direct from Donors","No","[REF 1.1.1]Food Assistance","Central","FOOD","ZARQA","Men","Urban"
"49122","% of WOMEN_IN_HOST_COMMUNITY with acceptable food consumption","%",403,"LWF","01/04/2016","Appeal outside of 3RP","None - Fund direct from Donors","No","[REF 1.1.1]Food Assistance","Central","FOOD","ZARQA","Men","Host Community"
"49125","% of SYRIAN_WOMEN_IN_URBAN with acceptable food consumption","%",1001,"LWF","01/03/2016","Appeal outside of 3RP","None - Fund direct from Donors","No","[REF 1.1.1]Food Assistance","Central","FOOD","ZARQA","Women","Urban"
"49127","%  of MEN_IN_HOST_COMMUNITY with acceptable food consumption","%",604,"LWF","01/04/2016","Appeal outside of 3RP","None - Fund direct from Donors","No","[REF 1.1.1]Food Assistance","Central","FOOD","ZARQA","Men","Host Community"
"49128","#  of SYRIAN_MEN_IN_URBAN receiving food assistance","# men",604,"WFP","01/03/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","South","FOOD","AQABAH","Men","Urban"
"49129","# of SYRIAN_GIRLS_IN_URBAN receiving food assistance","# girls",625,"WFP","01/05/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","South","FOOD","AQABAH","Girls","Urban"
"49130","# of SYRIAN_WOMEN_IN_URBAN receiving food assistance","# women",647,"WFP","01/05/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","South","FOOD","AQABAH","Women","Urban"
"49131","# of SYRIAN_WOMEN_IN_URBAN receiving food assistance","# women",641,"WFP","01/03/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","South","FOOD","AQABAH","Women","Urban"
"49132","# of SYRIAN_WOMEN_IN_URBAN receiving food assistance","# women",675,"WFP","01/09/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","South","FOOD","AQABAH","Women","Urban"
"49133","# of SYRIAN_GIRLS_IN_URBAN receiving food assistance","# girls",625,"WFP","01/07/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","South","FOOD","AQABAH","Girls","Urban"
"49134","# of SYRIAN_GIRLS_IN_URBAN receiving food assistance","# girls",622,"WFP","01/02/2016","Indirect Implementation","None - Fund direct from Donors","Yes","[REF 1.1.1]Food Assistance","South","FOOD","AQABAH","Girls","Urban"
