"","Indicator","Units","Value","Partner","StartDate","appeal","Fundedby","allocation","activity","region","Sector","Governorate","Gender","poptype"
"51732","# of vaccinations provided to SYRIAN_GIRLS_IN_CAMPS","#",288,"JHAS","01/07/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Girls","Camp"
"51733","# of vaccinations provided to SYRIAN_MEN_IN_CAMPS","#",0,"JHAS","01/09/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Men","Camp"
"51734","# of vaccinations provided to SYRIAN_MEN_IN_CAMPS","#",0,"JHAS","01/06/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Men","Camp"
"51735","# of vaccinations provided to SYRIAN_BOYS_IN_CAMPS","#",183,"JHAS","01/02/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Boys","Camp"
"51736","# of vaccinations provided to SYRIAN_GIRLS_IN_CAMPS","#",275,"JHAS","01/06/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Girls","Camp"
"51737","# of vaccinations provided to SYRIAN_WOMEN_IN_CAMPS","#",239,"JHAS","01/02/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Women","Camp"
"51738","# of vaccinations provided to SYRIAN_GIRLS_IN_CAMPS","#",542,"JHAS","01/05/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Girls","Camp"
"51739","# of vaccinations provided to SYRIAN_WOMEN_IN_CAMPS","#",176,"JHAS","01/08/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Women","Camp"
"51740","# of vaccinations provided to SYRIAN_WOMEN_IN_CAMPS","#",195,"JHAS","01/05/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Women","Camp"
"51741","# of vaccinations provided to SYRIAN_GIRLS_IN_CAMPS","#",203,"JHAS","01/09/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Girls","Camp"
"51742","# of vaccinations provided to SYRIAN_WOMEN_IN_CAMPS","#",167,"JHAS","01/07/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Women","Camp"
"51743","# of vaccinations provided to SYRIAN_WOMEN_IN_CAMPS","#",165,"JHAS","01/06/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Women","Camp"
"51744","# of vaccinations provided to SYRIAN_MEN_IN_CAMPS","#",0,"JHAS","01/05/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Men","Camp"
"51745","# of vaccinations provided to SYRIAN_BOYS_IN_CAMPS","#",136,"JHAS","01/01/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Boys","Camp"
"51746","# of vaccinations provided to SYRIAN_WOMEN_IN_CAMPS","#",136,"JHAS","01/09/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Women","Camp"
"51747","# of vaccinations provided to SYRIAN_BOYS_IN_CAMPS","#",263,"JHAS","01/04/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Boys","Camp"
"51748","# of vaccinations provided to SYRIAN_MEN_IN_CAMPS","#",0,"JHAS","01/01/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Men","Camp"
"51749","# of vaccinations provided to SYRIAN_BOYS_IN_CAMPS","#",253,"JHAS","01/03/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Boys","Camp"
"51750","# of vaccinations provided to SYRIAN_WOMEN_IN_CAMPS","#",279,"JHAS","01/01/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Women","Camp"
"51751","# of vaccinations provided to SYRIAN_BOYS_IN_CAMPS","#",279,"JHAS","01/07/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Boys","Camp"
"51752","# of vaccinations provided to SYRIAN_BOYS_IN_CAMPS","#",270,"JHAS","01/06/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Boys","Camp"
"51753","# of vaccinations provided to SYRIAN_GIRLS_IN_CAMPS","#",279,"JHAS","01/03/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Girls","Camp"
"51754","# of vaccinations provided to SYRIAN_GIRLS_IN_CAMPS","#",127,"JHAS","01/01/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Girls","Camp"
"51755","# of vaccinations provided to SYRIAN_MEN_IN_CAMPS","#",0,"JHAS","01/08/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Men","Camp"
"51756","# of vaccinations provided to SYRIAN_BOYS_IN_CAMPS","#",236,"JHAS","01/09/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Boys","Camp"
"51757","# of vaccinations provided to SYRIAN_WOMEN_IN_CAMPS","#",288,"JHAS","01/03/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Women","Camp"
"51758","# of vaccinations provided to SYRIAN_GIRLS_IN_CAMPS","#",181,"JHAS","01/02/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Girls","Camp"
"51759","# of vaccinations provided to SYRIAN_BOYS_IN_CAMPS","#",308,"JHAS","01/08/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Boys","Camp"
"51760","# of vaccinations provided to SYRIAN_MEN_IN_CAMPS","#",0,"JHAS","01/02/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Men","Camp"
"51761","# of vaccinations provided to SYRIAN_GIRLS_IN_CAMPS","#",280,"JHAS","01/04/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Girls","Camp"
"51762","# of vaccinations provided to SYRIAN_MEN_IN_CAMPS","#",0,"JHAS","01/07/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Men","Camp"
"51763","# of vaccinations provided to SYRIAN_BOYS_IN_CAMPS","#",531,"JHAS","01/05/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Boys","Camp"
"51764","# of vaccinations provided to SYRIAN_GIRLS_IN_CAMPS","#",270,"JHAS","01/08/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Girls","Camp"
"51765","# of vaccinations provided to SYRIAN_WOMEN_IN_CAMPS","#",203,"JHAS","01/04/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Women","Camp"
"51766","# of vaccinations provided to SYRIAN_MEN_IN_CAMPS","#",0,"JHAS","01/03/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Men","Camp"
"51767","# of vaccinations provided to SYRIAN_MEN_IN_CAMPS","#",0,"JHAS","01/04/2016","Direct Implementation","UNHCR","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","North","HEALTH","ZaatariCamp","Men","Camp"
"51768","# of vaccinations provided to SYRIAN_BOYS_IN_URBAN","#",0,"Caritas","01/06/2016","Direct Implementation","Caritas","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","Central","HEALTH","BALQA","Boys","Urban"
"51769","# of vaccinations provided to GIRLS_IN_HOST_COMMUNITY","#",0,"Caritas","01/02/2016","Direct Implementation","Caritas","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","Central","HEALTH","BALQA","Girls","Host Community"
"51770","# of vaccinations provided to BOYS_IN_HOST_COMMUNITY","#",0,"Caritas","01/05/2016","Direct Implementation","Caritas","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","Central","HEALTH","BALQA","Boys","Host Community"
"51771","# of vaccinations provided to GIRLS_IN_HOST_COMMUNITY","#",0,"Caritas","01/05/2016","Direct Implementation","Caritas","Yes","[REF1.1.1]Comm. Disease Mngt / EPI services","Central","HEALTH","BALQA","Girls","Host Community"
