"","sector","StartDate","Category","activity","Indicator","Indicator2","Governorate","Gender","Partner","SiteType","appeal","Fundedby","allocation","rcode","gcode","Value","Units","location","region","poptype"
"5574","PROTECTION","31/1/2016","SGBV","[REF.1.3.2]Acess to multi-sector services","#  of SYRIAN_MEN_IN _URBAN  survivors of SGBV  who access case management and multi-sectoral services","#  of SYRIAN_MEN_IN _URBAN  survivors of SGBV  who access case management and multi-sectoral services","IRBID","","IRC","   Urban areas - ","Direct appeal","IRC","Yes","1","1707",0,"# men","Irbid Governorate","North",""
"5918","PROTECTION","29/2/2016","SGBV","[REF.1.3.2]Acess to multi-sector services","#  of SYRIAN_MEN_IN _URBAN  survivors of SGBV  who access case management and multi-sectoral services","#  of SYRIAN_MEN_IN _URBAN  survivors of SGBV  who access case management and multi-sectoral services","IRBID","","IRC","   Urban areas - ","Direct appeal","IRC","Yes","1","1707",0,"# men","Irbid Governorate","North",""
"6062","PROTECTION","31/1/2016","SGBV","[REF.1.3.2]Acess to multi-sector services","#  of SYRIAN_WOMEN_IN _URBAN survivors of SGBV  who access case management and multi-sectoral services","#  of SYRIAN_WOMEN_IN _URBAN survivors of SGBV  who access case management and multi-sectoral services","IRBID","","IRC","   Urban areas - ","Direct appeal","IRC","Yes","1","1707",59,"# women","Irbid Governorate","North",""
"6604","PROTECTION","29/2/2016","SGBV","[REF.1.3.2]Acess to multi-sector services","#  of SYRIAN_WOMEN_IN _URBAN survivors of SGBV  who access case management and multi-sectoral services","#  of SYRIAN_WOMEN_IN _URBAN survivors of SGBV  who access case management and multi-sectoral services","IRBID","","IRC","   Urban areas - ","Direct appeal","IRC","Yes","1","1707",60,"# women","Irbid Governorate","North",""
"12210","PROTECTION","29/2/2016","SGBV","[REF.1.3.2]Acess to multi-sector services","#  of SYRIAN_WOMEN_IN _URBAN survivors of SGBV  who access case management and multi-sectoral services","#  of SYRIAN_WOMEN_IN _URBAN survivors of SGBV  who access case management and multi-sectoral services","ZARQA","","AWO","   Urban areas - ","Indirect appeal","UNICEF","Yes","1","1712",0,"# women","Liwa ar Rusayfah","North",""
"12238","PROTECTION","31/1/2016","SGBV","[REF.1.3.2]Acess to multi-sector services","#  of SYRIAN_WOMEN_IN _URBAN survivors of SGBV  who access case management and multi-sectoral services","#  of SYRIAN_WOMEN_IN _URBAN survivors of SGBV  who access case management and multi-sectoral services","ZARQA","","AWO","   Urban areas - ","Indirect appeal","UNICEF","Yes","1","1712",3,"# women","Liwa ar Rusayfah","North",""
"12160","PROTECTION","29/2/2016","SGBV","[REF.1.3.2]Acess to multi-sector services","#  of SYRIAN_WOMEN_IN _URBAN survivors of SGBV  who access case management and multi-sectoral services","#  of SYRIAN_WOMEN_IN _URBAN survivors of SGBV  who access case management and multi-sectoral services","ZARQA","","AWO","   Urban areas - ","Indirect appeal","UNICEF","Yes","1","1712",6,"# women","Liwa Qasabat Az Zarqa","North",""
"12274","PROTECTION","31/1/2016","SGBV","[REF.1.3.2]Acess to multi-sector services","#  of SYRIAN_WOMEN_IN _URBAN survivors of SGBV  who access case management and multi-sectoral services","#  of SYRIAN_WOMEN_IN _URBAN survivors of SGBV  who access case management and multi-sectoral services","ZARQA","","AWO","   Urban areas - ","Indirect appeal","UNICEF","Yes","1","1712",5,"# women","Liwa Qasabat Az Zarqa","North",""
"10569","PROTECTION","29/2/2016","SGBV","[REF.1.3.2]Acess to multi-sector services","#  of SYRIAN_WOMEN_IN _URBAN survivors of SGBV  who access case management and multi-sectoral services","#  of SYRIAN_WOMEN_IN _URBAN survivors of SGBV  who access case management and multi-sectoral services","MAFRAQ","","IRC","   Urban areas - ","Direct appeal","IRC","Yes","1","1711",26,"# women","Mafraq Governorate","North",""
"10608","PROTECTION","29/2/2016","SGBV","[REF.1.3.2]Acess to multi-sector services","#  of SYRIAN_MEN_IN _URBAN  survivors of SGBV  who access case management and multi-sectoral services","#  of SYRIAN_MEN_IN _URBAN  survivors of SGBV  who access case management and multi-sectoral services","MAFRAQ","","IRC","   Urban areas - ","Direct appeal","IRC","Yes","1","1711",0,"# men","Mafraq Governorate","North",""
