"","sector","StartDate","Category","activity","Indicator","Indicator2","Governorate","Gender","Partner","SiteType","appeal","Fundedby","allocation","rcode","gcode","Value","Units","location","region","poptype"
"13506","SHELTER","29/2/2016","Improve living conditions in camps","[REF1.1.1]Adequate shelters in camps","# of existing shelters replaced, improved or upgraded","# of existing shelters replaced, improved or upgraded","AZRAQCAMP","","UNHCR","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1712",437,"#","Azraq Camp","North",""
"13654","SHELTER","31/1/2016","Improve living conditions in camps","[REF1.1.1]Adequate shelters in camps","# of existing shelters replaced, improved or upgraded","# of existing shelters replaced, improved or upgraded","AZRAQCAMP","","UNHCR","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1712",862,"#","Azraq Camp","North",""
"9477","SHELTER","29/2/2016","Improve living conditions in camps","[REF1.1.1]Adequate shelters in camps","# of existing shelters replaced, improved or upgraded","# of existing shelters replaced, improved or upgraded","ZAATARICAMP","","UNHCR","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1711",183,"#","Zaatari Camp (all district)","North",""
"10638","SHELTER","31/1/2016","Improve living conditions in camps","[REF1.1.1]Adequate shelters in camps","# of existing shelters replaced, improved or upgraded","# of existing shelters replaced, improved or upgraded","ZAATARICAMP","","UNHCR","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1711",264,"#","Zaatari Camp (all district)","North",""
"13392","SHELTER","31/1/2016","Improve Infrastr. in camps","[REF1.2.1]Infrastr. Upgrade./Construction","# m2 of camps infrastructure and roads constructed and/or upgraded","# m2 of camps infrastructure and roads constructed and/or upgraded","AZRAQCAMP","","UNHCR","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1712",0,"# m2","Azraq Camp","North",""
"10667","SHELTER","31/1/2016","Improve Infrastr. in camps","[REF1.2.1]Infrastr. Upgrade./Construction","# m2 of camps infrastructure and roads constructed and/or upgraded","# m2 of camps infrastructure and roads constructed and/or upgraded","ZAATARICAMP","","UNHCR","Camp    - ","Direct appeal","None - Fund direct from Donors","Yes","1","1711",0,"# m2","Zaatari Camp (all district)","North",""
"1515","SHELTER","29/2/2016","Cash for Rent","[REF2.1.1]Cash for Rent","# of vulnerable SYRIAN_WOMEN_IN_URBAN received conditional cash for rent assistance","# of vulnerable SYRIAN_WOMEN_IN_URBAN received conditional cash for rent assistance","BALQA","","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",0,"# HH","Al Balqa Governorate","Center",""
"1630","SHELTER","31/1/2016","Cash for Rent","[REF2.1.1]Cash for Rent","# of vulnerable SYRIAN_WOMEN_IN_URBAN received conditional cash for rent assistance","# of vulnerable SYRIAN_WOMEN_IN_URBAN received conditional cash for rent assistance","BALQA","","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1702",0,"# HH","Al Balqa Governorate","Center",""
"1768","SHELTER","31/1/2016","Cash for Rent","[REF2.1.1]Cash for Rent","# of vulnerable SYRIAN_WOMEN_IN_URBAN received conditional cash for rent assistance","# of vulnerable SYRIAN_WOMEN_IN_URBAN received conditional cash for rent assistance","AMMAN","","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1705",77,"# HH","Amman Governorate","Center",""
"2883","SHELTER","29/2/2016","Cash for Rent","[REF2.1.1]Cash for Rent","# of vulnerable SYRIAN_WOMEN_IN_URBAN received conditional cash for rent assistance","# of vulnerable SYRIAN_WOMEN_IN_URBAN received conditional cash for rent assistance","AMMAN","","Caritas","   Urban areas - ","Direct appeal","Caritas","Yes","2","1705",77,"# HH","Amman Governorate","Center",""
