"","Indicator","Units","Value","Partner","StartDate","appeal","Fundedby","allocation","activity","region","Sector","Governorate","Gender","poptype"
"140218","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",328,"OXFAM","01/08/2016","Direct Implementation",(unknown),"Yes","[REF1.2.2]Household Water Improv.","Central","WASH","ZARQA","Women","Urban"
"140219","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",328,"OXFAM","01/07/2016","Direct Implementation",(unknown),"Yes","[REF1.2.2]Household Water Improv.","Central","WASH","ZARQA","Women","Urban"
"140220","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",317,"OXFAM","01/07/2016","Direct Implementation",(unknown),"Yes","[REF1.2.2]Household Water Improv.","Central","WASH","ZARQA","Boys","Urban"
"140221","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",372,"OXFAM","01/07/2016","Direct Implementation",(unknown),"Yes","[REF1.2.2]Household Water Improv.","Central","WASH","ZARQA","Girls","Urban"
"140222","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",202,"OXFAM","01/09/2016","Direct Implementation",(unknown),"Yes","[REF1.2.2]Household Water Improv.","Central","WASH","ZARQA","Girls","Urban"
"140223","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",201,"OXFAM","01/09/2016","Direct Implementation",(unknown),"Yes","[REF1.2.2]Household Water Improv.","Central","WASH","ZARQA","Men","Urban"
"140224","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",372,"OXFAM","01/08/2016","Direct Implementation",(unknown),"Yes","[REF1.2.2]Household Water Improv.","Central","WASH","ZARQA","Girls","Urban"
"140225","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",388,"OXFAM","01/07/2016","Direct Implementation",(unknown),"Yes","[REF1.2.2]Household Water Improv.","Central","WASH","ZARQA","Men","Urban"
"140226","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",317,"OXFAM","01/08/2016","Direct Implementation",(unknown),"Yes","[REF1.2.2]Household Water Improv.","Central","WASH","ZARQA","Boys","Urban"
"140227","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",169,"OXFAM","01/09/2016","Direct Implementation",(unknown),"Yes","[REF1.2.2]Household Water Improv.","Central","WASH","ZARQA","Women","Urban"
"140228","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",388,"OXFAM","01/08/2016","Direct Implementation",(unknown),"Yes","[REF1.2.2]Household Water Improv.","Central","WASH","ZARQA","Men","Urban"
"140229","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",172,"OXFAM","01/09/2016","Direct Implementation",(unknown),"Yes","[REF1.2.2]Household Water Improv.","Central","WASH","ZARQA","Boys","Urban"
"140230","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/04/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Boys","Urban"
"140231","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/02/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Boys","Urban"
"140232","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/05/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Girls","Urban"
"140233","# of SYRIAN_WOMEN_IN_URBAN with access to water based on minimum standards","# of women",0,"Intersos","01/03/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Women","Urban"
"140234","# of SYRIAN_BOYS_IN_URBAN  with access to water based on minimum standards","# of boys",0,"Intersos","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Boys","Urban"
"140235","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/04/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Men","Urban"
"140236","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/05/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Men","Urban"
"140237","# of SYRIAN_MEN_IN_URBAN with access to water based on minimum standards","# of men",0,"Intersos","01/03/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Men","Urban"
"140238","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",0,"Intersos","01/01/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Girls","Urban"
"140239","# of SYRIAN_GIRLS_IN_URBAN with access to water based on minimum standards","# of girls",187,"Intersos","01/09/2016","Indirect Implementation","UNICEF","Yes","[REF1.2.2]Household Water Improv.","South","WASH","KARAK","Girls","Urban"
