"","Indicator","Units","Value","Partner","StartDate","appeal","Fundedby","allocation","activity","region","Sector","Governorate","Gender","poptype"
"2","# of SYRIAN_WOMEN_IN_CAMPS provided with new arrival kits","#",3083,"NRC","01/01/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","North","BASICNEEDS","ZaatariCamp","Women","Camp"
"3","# of SYRIAN_WOMEN_IN_CAMPS provided with new arrival kits","#",569,"NRC","01/09/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","North","BASICNEEDS","ZaatariCamp","Women","Camp"
"4","# of SYRIAN_WOMEN_IN_CAMPS provided with new arrival kits","#",2389,"NRC","01/02/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","North","BASICNEEDS","ZaatariCamp","Women","Camp"
"5","# of SYRIAN_MEN_IN_CAMPS provided with new arrival kits","#",2232,"NRC","01/02/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","North","BASICNEEDS","ZaatariCamp","Men","Camp"
"6","# of SYRIAN_WOMEN_IN_CAMPS provided with new arrival kits","#",691,"NRC","01/08/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","North","BASICNEEDS","ZaatariCamp","Women","Camp"
"7","# of SYRIAN_WOMEN_IN_CAMPS provided with new arrival kits","#",715,"NRC","01/06/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","North","BASICNEEDS","ZaatariCamp","Women","Camp"
"8","# of SYRIAN_MEN_IN_CAMPS provided with new arrival kits","#",465,"NRC","01/06/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","North","BASICNEEDS","ZaatariCamp","Men","Camp"
"13","# of SYRIAN_WOMEN_IN_CAMPS provided with new arrival kits","#",2596,"NRC","01/03/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","North","BASICNEEDS","ZaatariCamp","Women","Camp"
"14","# of SYRIAN_WOMEN_IN_CAMPS provided with new arrival kits","#",423,"NRC","01/05/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","North","BASICNEEDS","ZaatariCamp","Women","Camp"
"15","# of SYRIAN_WOMEN_IN_CAMPS provided with new arrival kits","#",715,"NRC","01/07/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","North","BASICNEEDS","ZaatariCamp","Women","Camp"
"16","# of SYRIAN_WOMEN_IN_CAMPS provided with new arrival kits","#",512,"NRC","01/04/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","North","BASICNEEDS","ZaatariCamp","Women","Camp"
"17","# of SYRIAN_MEN_IN_CAMPS provided with new arrival kits","#",429,"NRC","01/09/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","North","BASICNEEDS","ZaatariCamp","Men","Camp"
"19","# of SYRIAN_GIRLS_IN_CAMPS provided with new arrival kits","#",3097,"NRC","01/03/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","North","BASICNEEDS","ZaatariCamp","Girls","Camp"
"21","# of SYRIAN_GIRLS_IN_CAMPS provided with new arrival kits","#",3678,"NRC","01/01/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","North","BASICNEEDS","ZaatariCamp","Girls","Camp"
"23","# of SYRIAN_BOYS_IN_CAMPS provided with new arrival kits","#",829,"NRC","01/08/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","North","BASICNEEDS","ZaatariCamp","Boys","Camp"
"27","# of SYRIAN_MEN_IN_CAMPS provided with new arrival kits","#",2425,"NRC","01/03/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","North","BASICNEEDS","ZaatariCamp","Men","Camp"
"30","# of SYRIAN_MEN_IN_CAMPS provided with new arrival kits","#",478,"NRC","01/04/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","North","BASICNEEDS","ZaatariCamp","Men","Camp"
"31","# of SYRIAN_BOYS_IN_CAMPS provided with new arrival kits","#",505,"NRC","01/05/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","North","BASICNEEDS","ZaatariCamp","Boys","Camp"
"33","# of SYRIAN_MEN_IN_CAMPS provided with new arrival kits","#",523,"NRC","01/08/2016","Indirect Implementation","UNHCR","Yes","[REF2.1.1]New Arrival kits in Camps","North","BASICNEEDS","ZaatariCamp","Men","Camp"
