Teachers training. Provision of transportation and equipment & recreational activities,تدريب المعلمين، وتوفير وسائل النقل والمعدات، والأنشطة الترفيهية
Reproductive health (e.g. antenatal postnatal & family planning),الصحة الإنجابية (على سبيل المثال قبل الولادة، بعد الولادة وتنظيم الأسرة)
Core NFIs (household items including mats mattresses kitchen sets & jerry cans),المواد غير الغذائية الأساسية (الأدوات المنزلية بما في ذلك الحصير والفرش وأواني المطبخ وجراكن)
Community development projects in host communities (e.g. quick impact projects [QIPs] community-based protection projects),مشاريع التنمية المجتمعية في المجتمعات المضيفة (مثل المشاريع ذات الأثر السريع [المشاريع ذات الأثر السريع]، ومشاريع الحماية المجتمعية)
Facilitation of conditions for indigenous traditional spiritual or religious supports including communal healing practices,تسهيل شروط الدعم التقليدي والروحي أو الديني المحلي، بما في ذلك الممارسات العلاجية المجتمعية
Information on the current situation  relief efforts or available services,معلومات عن الوضع الحالي، وجهود الإغاثة أو الخدمات المتاحة
Livelihoods projects (income-generating activities life skills literacy classes etc.),مشاريع سبل العيش (أنشطة توليد الدخل، والمهارات الحياتية ودروس محو الأمية، وغيرها)
Mass Campaigns (Events TV Radio etc),الحملات الجماهيرية (أحداث، تلفزيون، راديو، الخ)
Messages on Child Protection (CP) issues or prevention of Gender-Based Violence (GBV) (include information education & communication [IEC] materials),رسائل حول قضايا حماية الطفل (CP) أو الوقاية من العنف القائم على نوع الجنس (GBV) (تشمل المعلومات والتعليم ومواد الاتصال [IEC] )
Orientation training or advocacy with aid workers/agencies on including social/psychosocial child protection or GBV considerations in programming (provide details on the MHPSS & Protection Services Info sheet),التوجيه أو التدريب أو التوعية مع عمال الاغاثة / الوكالات حول تضمين اعتبارات اجتماعية/ نفسية و بشأن حماية الطفل والعنف الجنساني في البرمجة (تقديم تفاصيل عن ورقة معلومات الخدمات النفسية الاجتماعية و الصحة العقلية و خدمات الحماية )
Support for communal spaces/meetings to discuss problem-solve and organize community members to respond to the emergency,دعم المساحات المجتمعية / الاجتماعات لمناقشة، حل المشاكل وتنظيم أفراد المجتمع للاستجابة للطوارئ
Best Interest Assessment (BIA) and/or Best Interest Determination (BID) process for unaccompanied separated and other children at risk,عملية تقييم المصالح (BIA) و/أوتحديد المصالح (BID) للأطفال غير المصحوبين، والمنفصلين وغيرهم من الأطفال المعرضين للخطر
Referral of protection cases to non-protection services (health education employment etc.),إحالة حالات الحماية إلى خدمات عدم الحماية (الصحة، التعليم، والعمل، الخ) 
Access to information and registration procedures (early appointments transport to Registration Centers),إمكانية الوصول إلى المعلومات وإجراءات التسجيل (المواعيد المبكرة والنقل إلى مراكز التسجيل)
Information Dissemination/Awareness-raising (Infoline Service leaflets etc).,نشر المعلومات / (خط المعلومات ومنشورات الخدمة، الخ) لزيادة الوعي.
Training of Government officials CBOs Civil society etc on Refugee,تدريب موظفي الحكومة ومنظمات المجتمع المحلي، والمجتمع المدني، وغيرها على الاستجابة لقضايا اللاجئين
Introduce a supplementary feeding programme to malnourished boys and girls under the age of five and pregnant and lactating mothers in camps and local communities,وضع برنامج للتغذية التكميلية للذين يعانون من سوء التغذية من الفتيان والفتيات دون سن الخامسة والحوامل والأمهات المرضعات في المخيمات والمجتمعات المحلية
Structured recreational or creative activities (do not include activities at child or youth friendly spaces that are covered in 4.1 and 4.2),الأنشطة الترفيهية أو الإبداعية المهيكلة (لا تشمل الأنشطة في المساحات المناسبة للأطفال أو الشباب التي تشملها 4.1 و 4.2)
